VALUE	SESSIONLENGTH	TIMEONPAGE	FREQUENCY	TIMER
22630	2.768	96402.88572	1378	TTFB
16720	2.933	88461.002	3041	TTFB
24480	2.503	107164.6449	1052	TTFB
29790	3.238	108156.9559	653	TTFB
4410	3.699	118437.5942	102831	TTFB
11830	2.929	89779.40012	8285	TTFB
11360	3.17	127614.1364	8878	TTFB
13510	3.148	125505.5937	5133	TTFB
25260	2.62	105373.5013	954	TTFB
27320	2.564	99355.03981	764	TTFB
14810	2.997	104129.8645	3902	TTFB
22940	2.806	288124.394	1302	TTFB
23670	3.697	106472.238	1101	TTFB
2280	3.897	106505.9818	647049	TTFB
2480	3.843	116823.5768	520858	TTFB
6750	3.354	92917.31704	35062	TTFB
4590	3.681	149210.6735	91267	TTFB
11610	3.355	191500.1143	8203	TTFB
18190	2.801	94431.32823	2356	TTFB
25770	5.528	111802.0942	901	TTFB
14700	2.969	82729.66654	4005	TTFB
17090	3.044	88141.62922	2940	TTFB
17330	2.897	87023.33387	2742	TTFB
28670	2.569	104217.5238	741	TTFB
6280	3.492	160638.5751	43359	TTFB
9520	3.106	90422.19397	13542	TTFB
11730	3.115	94291.22722	8357	TTFB
26410	3.007	103755.2658	894	TTFB
16430	3.13	91835.81675	3232	TTFB
27490	2.547	111051.3019	744	TTFB
17720	3.15	106259.6953	2445	TTFB
16860	2.975	89516.36569	3021	TTFB
17850	2.727	95201.509	2396	TTFB
17250	3.022	93783.43506	2752	TTFB
16000	2.853	85282.7558	3447	TTFB
24430	3.076	99740.91836	1052	TTFB
23180	2.716	112198.1654	1243	TTFB
27060	2.609	109555.0819	758	TTFB
3750	3.761	142559.0522	167147	TTFB
3370	3.785	105370.2294	228876	TTFB
4450	3.636	176909.2739	98933	TTFB
3090	3.781	130858.6806	288094	TTFB
9090	3.123	82793.49451	14782	TTFB
10020	3.31	112895.7784	11081	TTFB
17340	2.921	89855.04556	2675	TTFB
23890	2.774	103608.188	1151	TTFB
18900	3.361	91510.63978	2205	TTFB
27560	2.673	113981.3592	689	TTFB
29660	3.066	106463.3735	647	TTFB
17240	2.953	278672.769	2765	TTFB
700	4.12	80320.68129	4844212	TTFB
320	4.502	68217.70291	6664869	TTFB
750	4.057	79947.10365	4560736	TTFB
1700	3.929	98201.29536	1270776	TTFB
9640	3.416	68382.19653	12718	TTFB
15420	2.941	84900.74481	3783	TTFB
12010	3.011	130554.9356	7697	TTFB
17520	2.649	117607.9054	2601	TTFB
17170	3.274	86041.73735	2917	TTFB
29670	2.766	108955.5965	635	TTFB
2970	3.77	131344.5042	323417	TTFB
4890	3.653	106245.0923	75139	TTFB
9160	3.183	100522.1119	14690	TTFB
10840	3.126	201899.8211	10260	TTFB
17020	2.992	86776.12025	2861	TTFB
14120	3.188	161704.5812	4568	TTFB
15780	2.968	100239.4009	3783	TTFB
27770	3.126	106891.6058	706	TTFB
25520	3.236	228936.2999	885	TTFB
2120	3.903	98355.28094	773453	TTFB
3990	3.719	121628.3627	136627	TTFB
7790	3.49	85839.74443	22123	TTFB
12320	3.145	87381.55957	6813	TTFB
15090	2.943	81588.51538	3728	TTFB
13970	3.234	90886.64903	4721	TTFB
17740	2.72	90080.60813	2418	TTFB
26130	2.802	101538.6513	946	TTFB
12880	3.08	84340.27856	5872	TTFB
28050	3.146	527606.7336	731	TTFB
24380	2.76	106831.7852	1074	TTFB
18690	3.214	107204.0712	2228	TTFB
26150	2.795	120772.7158	840	TTFB
1390	3.951	79079.42306	1898330	TTFB
3320	3.758	98396.13188	238639	TTFB
3240	3.959	111420.1772	253782	TTFB
4930	3.611	117658.4113	73385	TTFB
3060	3.777	127377.6866	297450	TTFB
3200	3.782	105784.1899	264456	TTFB
12460	3.383	84650.51397	6661	TTFB
8550	3.261	68212.09839	17882	TTFB
18980	3.386	96933.04449	2112	TTFB
12290	3.067	99503.47855	7003	TTFB
14320	3.115	117344.7035	4283	TTFB
10640	3.376	195826.911	11095	TTFB
19240	2.959	95736.93761	1934	TTFB
29930	11.834	112080.9798	605	TTFB
25860	2.684	109260.8693	846	TTFB
3560	3.806	170357.2855	195808	TTFB
19570	2.912	282647.3683	1892	TTFB
15550	3.171	94989.75993	3715	TTFB
9250	3.847	79000.26472	14695	TTFB
7880	3.356	118952.4066	21392	TTFB
15280	3.229	91397.47886	3749	TTFB
20610	3.14	95293.78179	1964	TTFB
20090	2.14	183279.0761	3109	TTFB
21970	3.408	102699.5039	1555	TTFB
15220	3.129	92148.96105	3788	TTFB
5290	3.523	79665.02395	64891	TTFB
4630	3.679	91517.96817	88646	TTFB
15570	3.05	85294.03586	3759	TTFB
21940	3.107	218736.9787	1556	TTFB
23320	2.628	104768.8252	1204	TTFB
26540	2.438	107570.6711	771	TTFB
16040	3.007	164617.0391	3292	TTFB
12950	4.45	100813.4712	5774	TTFB
10770	3.122	73569.23823	10545	TTFB
10730	3.148	95952.91899	10671	TTFB
13660	3.187	99848.86624	4918	TTFB
21240	3.584	89005.52915	1938	TTFB
13860	3.192	172515.8446	4809	TTFB
27630	2.497	103627.2842	792	TTFB
27840	2.409	107581.0789	701	TTFB
23460	2.584	127536.5389	1190	TTFB
27640	3.215	104130.4663	743	TTFB
7850	3.424	91628.92226	21862	TTFB
1540	3.931	94238.08927	1558915	TTFB
9480	3.187	112507.0022	13641	TTFB
28210	2.564	583590.9095	740	TTFB
8840	3.103	132775.6607	15777	TTFB
15730	3.227	94008.14962	3677	TTFB
16390	2.957	86863.87335	3234	TTFB
10200	3.077	96695.21468	12539	TTFB
10190	3.185	119090.5065	12508	TTFB
13120	6.314	82901.71753	5531	TTFB
18400	3.75	113014.5639	2232	TTFB
29510	2.662	110035.1724	632	TTFB
29950	2.861	108209.221	636	TTFB
7270	3.467	97782.91305	27587	TTFB
14510	3.394	83215.8272	4176	TTFB
470	4.429	74185.54835	5954371	TTFB
2930	3.743	156086.1021	334686	TTFB
4040	3.712	125279.8281	131472	TTFB
4140	3.694	116241.45	121983	TTFB
3840	3.727	86601.68206	154220	TTFB
11110	3.368	75181.90909	9310	TTFB
11100	3.272	84053.5278	9220	TTFB
21360	2.888	227936.4733	1748	TTFB
17490	3.015	116414.9331	2689	TTFB
20590	3.235	100460.1246	1985	TTFB
26970	2.548	107813.0949	809	TTFB
14920	3.034	89180.53955	3710	TTFB
23510	2.481	207163.7675	1135	TTFB
3050	3.781	97828.65374	299743	TTFB
3630	3.757	139032.9145	183615	TTFB
6570	3.481	115135.9771	38470	TTFB
7210	3.496	80622.29447	28184	TTFB
5990	3.447	78406.10472	47635	TTFB
6390	3.39	75327.79348	41406	TTFB
14670	2.973	128680.0675	4064	TTFB
19020	2.826	92946.5076	2098	TTFB
14870	2.804	86050.55969	3806	TTFB
14380	2.828	133461.3359	4226	TTFB
27290	2.926	112964.3882	786	TTFB
25820	3.247	112147.6414	872	TTFB
28240	2.605	101885.4751	746	TTFB
6290	3.537	94704.56077	43173	TTFB
24900	2.894	113609.7466	963	TTFB
26200	2.971	113629.0761	883	TTFB
24460	2.958	266060.8937	1035	TTFB
27050	3.069	102190.4822	818	TTFB
6810	3.564	80318.0171	34146	TTFB
19580	2.851	253684.1596	1917	TTFB
15790	2.779	98082.73465	3639	TTFB
12620	3.11	194867.0639	6342	TTFB
14570	3.28	84133.91518	4151	TTFB
28980	2.728	112062.9316	682	TTFB
26900	2.863	107389.2443	830	TTFB
7520	3.54	141063.0894	24942	TTFB
15350	3.13	155777.8617	3833	TTFB
340	4.497	64819.26012	6574250	TTFB
1650	3.946	82664.28967	1351081	TTFB
