VALUE	SESSIONLENGTH	FREQUENCY	TIMER
16720	4.923	2454	FID
25920	6.98	678	FID
24860	5.118	796	FID
24480	4.457	741	FID
21020	5.041	1268	FID
29790	4.296	512	FID
22620	6.516	1088	FID
23820	5.333	875	FID
22630	4.467	880	FID
4410	6.496	109164	FID
14810	5.815	3662	FID
25260	5.738	670	FID
11360	5.96	7951	FID
13510	5.882	4945	FID
11830	6.137	7257	FID
22940	5.146	867	FID
23670	4.524	903	FID
27320	4.514	567	FID
2280	6.695	345308	FID
2480	6.727	309615	FID
4590	6.257	97700	FID
6280	6.148	43756	FID
11730	5.563	7457	FID
6750	5.793	36496	FID
16430	4.528	2417	FID
9520	5.197	12864	FID
17330	5.356	2037	FID
11610	5.343	7771	FID
14700	5.436	3534	FID
26410	3.816	682	FID
18190	5.13	1907	FID
25770	3.855	616	FID
17090	7.88	2239	FID
28670	6.237	437	FID
27490	4.528	562	FID
17250	4.514	1969	FID
17720	4.998	1908	FID
16000	5.382	2743	FID
16860	5.925	2347	FID
17850	5.544	2073	FID
23180	4.607	1063	FID
24430	5.891	737	FID
27060	4.58	568	FID
3750	6.818	156617	FID
3370	6.798	194388	FID
3090	6.754	224602	FID
4450	6.653	106384	FID
9090	5.848	14901	FID
10020	5.469	11632	FID
17340	6.912	2183	FID
23890	7.617	776	FID
27560	4.328	438	FID
29660	5.232	374	FID
18900	18.986	1880	FID
17240	7.477	2068	FID
320	6.306	1060774	FID
750	6.111	696994	FID
700	6.029	708499	FID
1700	6.222	461011	FID
12010	5.153	6569	FID
17520	4.562	2016	FID
9640	5.089	13251	FID
17170	5.993	2230	FID
15420	6.005	2868	FID
29670	5.458	390	FID
2970	6.838	241861	FID
9160	5.531	14942	FID
4890	6.219	84821	FID
14120	5.303	4246	FID
10840	5.954	9350	FID
25520	3.27	706	FID
17020	5.134	2442	FID
15780	5.241	2620	FID
27770	3.505	459	FID
7790	5.75	24523	FID
3990	7.189	138121	FID
2120	6.698	373487	FID
15090	5.452	3484	FID
13970	5.46	4152	FID
12880	5.411	5310	FID
17740	5.159	1894	FID
12320	5.779	5972	FID
18690	4.985	1536	FID
26130	6.188	579	FID
26150	3.74	655	FID
28050	4.644	486	FID
24380	4.059	806	FID
1390	6.105	539659	FID
3200	6.817	212943	FID
3240	6.673	208446	FID
4930	6.477	83838	FID
8550	5.856	17939	FID
12460	5.391	5953	FID
19240	4.687	1675	FID
10640	5.725	9453	FID
12290	5.386	6602	FID
25860	6.062	757	FID
29930	5.148	444	FID
3060	6.791	229833	FID
3320	6.722	200843	FID
14320	5.191	3864	FID
18980	4.007	1762	FID
3560	6.76	174090	FID
9250	5.31	14728	FID
7880	6.35	23434	FID
15280	5.957	3241	FID
19570	5.108	1400	FID
15220	5.927	3065	FID
20610	5.144	1285	FID
21970	4.634	1093	FID
20090	4.495	1561	FID
15550	5.541	2825	FID
4630	6.218	96013	FID
5290	6.477	68269	FID
16040	5.195	2503	FID
15570	4.87	3021	FID
23320	5.717	870	FID
26540	4.395	516	FID
21940	5.224	1236	FID
13860	6.177	4415	FID
10770	5.833	9600	FID
10730	5.558	9464	FID
27640	6.736	741	FID
12950	5.37	5247	FID
13660	5.228	4385	FID
23460	5.639	852	FID
27840	6.127	641	FID
21240	5.221	1101	FID
27630	6.73	749	FID
1540	6.069	500052	FID
7270	5.724	29148	FID
13120	5.502	5288	FID
28210	4.153	528	FID
7850	5.846	23105	FID
8840	5.423	16726	FID
15730	5.259	2949	FID
9480	5.71	13652	FID
10200	5.449	10918	FID
18400	4.912	1900	FID
10190	5.385	11025	FID
14510	4.852	3576	FID
29950	4.246	398	FID
16390	5.529	2406	FID
29510	4.309	385	FID
470	5.961	801900	FID
4140	6.39	126371	FID
2930	6.807	244099	FID
4040	6.604	133700	FID
3840	7.112	148082	FID
11100	6.028	8188	FID
14920	5.217	3385	FID
11110	5.434	8958	FID
23510	4.171	887	FID
20590	6.005	1508	FID
17490	5.094	2199	FID
21360	4.866	1233	FID
26970	5.353	489	FID
3050	6.779	229335	FID
5990	6.264	49164	FID
6570	6.11	37664	FID
3630	6.543	168827	FID
7210	5.99	29889	FID
6390	7.52	42122	FID
19020	4.769	1742	FID
14670	5.41	3440	FID
14380	4.871	4102	FID
14870	5.336	3473	FID
28240	5.089	482	FID
27290	5.231	536	FID
25820	9.175	637	FID
6810	6.18	34708	FID
6290	6.189	44301	FID
7520	6.089	26023	FID
26200	6.151	607	FID
24900	5.342	789	FID
14570	5.07	3547	FID
15790	6.275	2936	FID
12620	6.023	5888	FID
19580	6.402	1592	FID
24460	4.785	770	FID
26900	6.269	553	FID
28980	4.366	418	FID
27050	4.532	646	FID
15350	4.729	3219	FID
420	6.072	853344	FID
340	6.271	1001719	FID
500	5.908	780505	FID
1140	6.213	608167	FID
3520	6.746	177904	FID
1650	6.136	472322	FID
9460	5.676	13924	FID
6360	6.262	42436	FID
6670	5.979	36442	FID
22720	4.177	994	FID
12220	5.272	5984	FID
23030	5.67	936	FID
27180	4.693	486	FID
17620	5.711	2035	FID
29780	5.128	365	FID
14030	5.674	3962	FID
19430	5.829	1517	FID
110	6.663	3284277	FID
7860	5.809	22494	FID
4920	6.444	82542	FID
13480	4.99	4697	FID
14360	4.972	3933	FID
7710	5.911	25047	FID
18880	5.344	1760	FID
23160	5.662	786	FID
25480	6.238	851	FID
8870	5.693	16327	FID
13830	5.254	4206	FID
13590	5.671	4861	FID
20870	4.868	1331	FID
20880	5.78	1251	FID
24750	5.827	596	FID
16010	5.214	2761	FID
27340	3.729	466	FID
27070	3.875	554	FID
2100	6.447	378968	FID
4010	6.674	136856	FID
7800	6.183	25694	FID
12170	5.546	6081	FID
10820	5.464	8654	FID
12090	5.614	6632	FID
11680	5.489	7699	FID
21790	7.916	1088	FID
24040	4.953	800	FID
7690	5.989	26236	FID
3950	6.56	139970	FID
21770	6.087	1241	FID
11840	4.954	7082	FID
22550	4.877	941	FID
18420	5.259	1733	FID
18730	5.266	1768	FID
21100	5.226	1150	FID
20200	4.209	1293	FID
29760	6.11	463	FID
26580	4.107	585	FID
11880	5.688	7525	FID
9710	5.986	12992	FID
12660	4.895	5563	FID
11210	5.952	8399	FID
22770	5.122	947	FID
24410	5.221	787	FID
12840	5.75	5200	FID
19120	5.129	1708	FID
28650	6.345	513	FID
2340	6.582	335972	FID
5030	6.182	79039	FID
8440	6.275	19503	FID
24150	4.614	731	FID
20890	4.445	1451	FID
18180	5.25	1659	FID
26100	5.652	645	FID
15030	4.743	3285	FID
29770	4.714	389	FID
15660	5.309	2618	FID
4670	6.598	94126	FID
6370	6.173	42381	FID
5980	6.191	49867	FID
6460	5.692	41063	FID
7530	5.828	27238	FID
8500	5.676	18788	FID
16240	5.313	2824	FID
9390	5.517	14586	FID
26690	4.735	587	FID
9040	5.658	15851	FID
13810	5.519	4397	FID
13360	5.34	4473	FID
27590	6.784	664	FID
17710	5.945	1936	FID
4230	6.451	120135	FID
4640	6.34	96785	FID
3330	6.705	197836	FID
4080	6.644	131524	FID
16930	5.504	2347	FID
12470	5.923	5992	FID
18790	4.747	1574	FID
22870	4.665	787	FID
9750	5.811	12463	FID
530	5.905	767345	FID
19970	7.715	1383	FID
7700	6.041	24794	FID
23550	6.04	799	FID
12700	6.066	5515	FID
16250	4.934	2646	FID
29260	4.642	369	FID
12610	5.756	5612	FID
14990	5.634	3210	FID
25120	4.445	642	FID
29120	5.047	442	FID
19880	4.157	1387	FID
28640	7.106	481	FID
3530	6.923	177675	FID
11300	5.392	8011	FID
4020	7.335	137647	FID
7920	5.806	22375	FID
7440	5.808	27680	FID
22410	5.957	893	FID
20660	5.473	1304	FID
15020	5.894	3642	FID
23450	5.414	830	FID
27100	3.632	583	FID
25540	4.771	616	FID
25060	4.722	739	FID
1350	6.177	549401	FID
4360	6.478	110614	FID
10940	5.764	8830	FID
8010	6.37	22240	FID
7320	5.939	29167	FID
11020	5.539	8683	FID
22290	4.933	1116	FID
8430	5.795	18695	FID
10810	6.092	9807	FID
16980	5.747	2259	FID
19710	5.599	1573	FID
19140	5.842	1605	FID
20460	5.895	1324	FID
17810	5.362	2064	FID
