TTFB,TTI,FREQ
660,5148,283396
125,3307,282981
659,5149,282892
657,5135,282740
126,3304,282723
658,5155,282609
661,5147,282384
663,5171,282356
664,5158,282299
662,5138,282191
666,5179,281621
124,3298,281567
665,5157,280958
683,5323,280777
3,2585,280243
667,5173,280058
668,5187,280013
2,3467,279974
123,3289,279807
670,5150,278881
672,5195,278820
669,5166,278812
676,5195,278448
671,5180,278280
122,3277,278216
673,5191,277826
675,5204,277023
679,5211,277011
677,5204,276980
674,5198,276933
678,5216,276746
682,5212,276458
18,3628,276251
680,5220,276231
684,5228,275588
681,5212,275506
121,3285,275274
120,3272,275081
686,5232,274582
685,5222,274414
119,3265,273438
687,5233,273021
118,3278,272553
117,3263,272380
690,5239,272308
692,5248,271957
116,3268,271952
688,5249,271848
693,5239,271793
697,5244,271785
689,5243,271664
695,5246,271300
696,5258,271126
691,5238,270807
694,5242,270605
698,5290,270441
700,5279,270305
115,3269,269919
699,5265,269779
114,3245,269285
701,5269,268631
19,3703,268443
702,5281,267892
704,5271,267424
703,5288,267110
708,5282,266700
113,3253,266670
706,5287,266370
707,5268,266251
705,5276,266053
710,5279,265923
712,5306,265632
714,5312,265039
112,3247,264988
709,5283,264835
716,5331,264790
711,5315,264451
717,5306,264084
713,5280,263841
715,5316,263767
718,5321,263593
20,3733,263197
719,5321,262756
111,3250,262586
720,5329,262439
752,5223,262331
110,3249,261499
722,5351,261278
729,5317,261012
721,5330,260932
724,5327,260911
725,5334,260130
109,3250,260127
734,5369,260097
723,5328,260067
21,3754,260030
728,5356,259903
732,5369,259647
727,5347,259581
726,5325,259534
731,5350.5,259530
730,5366,259115
733,5356,259012
108,3238,258731
735,5369,257891
740,5372,256865
736,5373,256387
738,5388,256318
739,5377,255812
107,3238,255652
737,5364,255581
744,5390.5,255350
741,5389,255172
748,5406,254729
743,5400,254651
746,5411,254595
749,5420,254519
742,5393,254307
745,5399,254123
750,5422,254033
747,5407,254031
106,3246,253969
751,5418,252849
754,5418,252471
105,3233,252425
104,3236,252046
753,5412,251688
756,5437,251420
22,3838,250953
757,5442,250399
755,5430,250255
758,5450,250130
761,5422,249662
760,5449,249462
759,5442,249432
764,5457,249284
766,5467,248975
103,3219,248502
767,5453,248477
762,5468,247982
765,5455,247898
102,3234,247678
763,5437,247627
769,5477,246958
768,5469,246814
770,5480,246392
23,3877,245779
780,5515,245565
771,5469,245354
772,5480.5,245316
798,5415,245001
773,5476,244822
101,3225,244746
775,5474,244508
774,5473,244426
776,5485,244213
100,3241,244146
779,5488,243780
777,5497,243660
778,5490,243535
781,5513,243107
782,5489,242948
783,5513,242467
24,3913,242225
99,3225,242171
784,5511,241884
98,3229,240965
788,5522,240827
786,5525,240563
785,5517,240481
790,5532,240114
787,5520,239929
796,5555,239010
791,5554,238785
97,3219,238764
793,5528,238533
792,5542,238381
794,5536,238320
789,5513,238320
795,5551,238149
797,5543,237912
25,3916,237664
799,5565,237403
96,3210,237011
800,5576,236406
801,5562,235772
95,3220,235581
804,5563,235493
807,5609,235193
805,5569,235101
802,5567,234930
94,3208,234884
26,3919,234654
808,5571,234363
803,5567,234309
806,5567,234152
809,5596,233620
810,5587,232998
811,5604,232975
814,5609,232936
816,5594,232707
813,5597,232691
818,5606,232624
93,3206,232341
812,5606,232336
817,5606,231980
815,5608,231812
27,3904,231453
92,3197,231226
28,3900,230240
820,5608,230133
819,5626,229733
822,5622,229630
823,5599,228903
91,3193,228752
824,5627,228740
826,5641,228632
