TTI,LASTFONT,FREQ
3872,1713.096823,661
3530,1477.167927,661
2926,1214.187595,661
3512,1289.547655,661
3504,1423.884848,660
4240,1736.834848,660
2701,1163.384848,660
5086,2032.790909,660
3470,1357.959091,660
6201,1669.411229,659
3115,1326.166920,659
2826,1165.470410,659
3284,1469.822458,659
3955,1588.350531,659
3681,1592.132219,658
3424,1426.463526,658
3415,1327.390578,658
4449,1584.473364,657
3660,1521.756469,657
3428,1268.992390,657
4440,1762.182648,657
3034,1247.558600,657
2790,1142.041096,657
3167,1336.535061,656
2848,1124.801829,656
3380,1481.614329,656
3397,1370.885496,655
4034,1546.572519,655
3533,1366.890076,655
2718,1160.377099,655
3371,1257.334351,655
3083,1183.090076,655
4779,1894.038168,655
3281,1346.229008,655
3017,1211.186260,655
3497,1458.445802,655
4988,1737.082569,654
3481,903.039755,654
3270,1188.879205,654
4131,1738.681957,654
4632,1949.313456,654
3788,1448.010703,654
2710,1130.950995,653
2680,1141.803982,653
3977,1533.840735,653
4461,1689.879020,653
3045,1262.278714,653
3373,1371.793262,653
2883,1160.359877,653
4339,1800.217458,653
3213,1337.562021,653
3446,1594.441041,653
2999,1207.995399,652
3694,1346.688650,652
3152,1249.009202,652
2713,1091.492331,652
3169,1206.572965,651
3010,1229.347158,651
4145,1770.076923,650
3674,1506.169231,650
3158,1224.123077,650
4167,1703.918462,650
3085,1236.835385,650
4898,1753.120000,650
5106,1928.166410,649
3721,1439.198767,649
2670,1102.559322,649
4082,1765.702619,649
3473,1281.349769,649
3539,1411.953775,649
3488,1331.978428,649
3912,1557.620370,648
3745,1671.520062,648
4020,1545.858025,648
3235,1340.645062,648
4450,1730.410494,648
2900,1163.067901,648
4386,1712.493827,648
4117,1784.087963,648
4245,1716.405864,648
3831,1455.123648,647
3450,1434.381762,647
4881,1932.035549,647
2423,928.941267,647
2571,1045.622875,647
4607,2094.275116,647
2943,1230.063467,646
5412,2305.846749,646
4590,1945.236842,646
4317,1728.602167,646
3910,1621.529412,646
2731,1115.055728,646
4606,1726.535604,646
3963,1495.569659,646
4746,1857.481424,646
3461,1536.103715,646
