JS_SIZE,TTI,FREQ
438131,1340,10532
303,2685,10528
1153,4936,10508
10808,3537.5,10506
419680,3124,10505
1476,5690,10489
475,4954,10485
547,4289,10483
1080,3704,10471
1457,5342,10461
10797,3468,10457
84,4716.5,10454
11575,4549.5,10452
524,5539.5,10448
1163,4553,10447
1089,3991,10447
4127,3070,10445
1167,4348.5,10442
1394,6614,10433
945,5404,10431
1109,4412,10429
10536,3162,10418
1181,5005,10415
4889,947,10393
1635,4625,10392
198041,1100,10392
10806,3587,10388
1448,4741,10379
11319,3602.5,10378
10589,3329.5,10374
52988,3585,10349
10540,3184,10346
10535,3172,10340
10789,3381.5,10314
1472,5831.5,10306
261931,3933,10304
1091,4262,10303
299,6531,10282
10534,3151,10279
10538,3180,10264
1391,6736.5,10258
1473,5536.5,10244
559377,5776,10243
1475,5508,10240
10586,3251,10235
660,4259,10233
725,4320.5,10230
51119,2235,10227
11328,3604.5,10224
692,3880,10218
912106,27647,10215
10849,3655,10213
299900,3976,10206
52997,3382,10196
1926,8036,10187
1477,5879,10180
2253,5109,10179
10539,3193,10179
1474,5515,10169
10537,3171,10164
20030,5474,10159
157363,2697,10154
4888,945,10154
352,3678,10150
1301,5370,10147
591,4180.5,10124
483,4753.5,10124
75145,3476,10119
1368,4867,10109
1440,5342,10104
510,4713,10104
1138,4558,10103
10588,3321,10098
419691,4670,10098
51167,2249,10096
10590,3268,10095
11322,3596,10090
1078,4015,10089
817,3559,10083
149,3309,10075
1185,4199,10060
2250,5644,10055
1101,4210,10048
1478,5806.5,10024
1454,4571,10020
1048,4473,10019
487,4631.5,10010
388179,755,10010
261910,3718,9996
555,4523,9993
39364,1717,9989
71831,3862,9987
404,4602,9975
912551,44130.5,9974
51177,2261,9974
1227,4629,9973
3062,5195,9969
1469,5815,9969
344554,2585.5,9946
11119,3378,9915
715,3695,9913
10591,3256,9910
56738,2047.5,9908
1068,4578,9904
1453,4429,9888
11381,3606,9884
1968,5470,9869
14431,3411,9866
1479,5924,9865
326872,5258,9864
1083,3655,9860
1133,4554,9851
353,4356.5,9848
11318,3683,9844
10533,3197,9842
1092,4348,9840
654,5335.5,9838
420325,3016.5,9834
10587,3202,9827
1179316,2797,9826
10805,3616,9819
345545,4416,9812
348,3649,9811
3094,4588,9809
1459,5767,9809
11054,3291,9805
419689,3300,9799
1134,4584,9788
1152,4665,9784
22039,1630,9781
1471,5753,9778
460,5316,9777
262,3727,9764
1140,4681,9755
11325,3660,9753
11327,3580,9745
765,4899,9734
49373,1289,9733
1043,4306.5,9726
1433,5021,9725
51168,2080,9719
2705,6118,9718
1119,4678,9713
1116,4489,9711
10592,3258,9711
10853,3686.5,9698
1132,4692,9697
493654,10472,9696
488,4688,9696
32689,2310,9694
702,3988,9682
286,3320,9679
1700,3495,9670
1131,4294,9659
187454,2961,9651
10850,3634,9649
1447,4893,9640
1458,5753,9638
53001,3362,9635
1111,3909,9633
294703,6966,9627
186338,2461,9626
11321,3612,9621
2019,3034.5,9616
186333,2466.5,9600
325402,6700,9599
566456,4130,9597
11326,3629,9596
1184,4619,9595
791,4471,9592
22309,2233,9588
1112,3996,9587
1390,6401,9585
1449,4782.5,9572
1172,4903.5,9570
1387,6191,9569
571,4593.5,9564
1556,5425.5,9564
1158,3854,9557
1100,4256,9550
269670,2627,9543
345539,4615.5,9536
727,4513,9525
780,4907,9521
1093,4288.5,9518
3324,5392,9517
1562,5152,9517
1686,3565,9505
1137,4713,9505
326848,5250,9497
344628,2798,9496
1170,4586.5,9492
1084,4144,9485
11324,3648,9481
376047,3885,9479
1432,5199,9476
10953,3647,9467
1470,5727.5,9466
2942,3608,9455
174,3616,9451
911893,28601,9450
11320,3677,9450
345171,2704.5,9446
10851,3611,9441
1120,4534,9438
11382,3596,9437
1445,4918,9433
1439,5223,9431
11317,3594.5,9424
1125,4653.5,9412
489,4480.5,9408
1168,4815,9398
2593,5137.5,9390
2588,5064,9389
686,4571,9371
912338,44396,9369
1040,4967.5,9368
22223,2208,9357
11120,3416,9355
22221,2162,9352
10532,3183.5,9352
405763,3668,9351
1460,5834,9333
62498,3414,9332
540,6073,9329
1126,4536,9327
493671,10932,9314
9633,3181,9307
1455,4991,9305
961,4652,9303
184995,1923,9303
1180,4731,9299
52992,3387,9288
1461,5865,9283
748,4982,9279
11384,3630,9277
1446,4923,9276
75334,5163,9273
157385,2799,9271
1099,4219,9267
1557,5684,9265
433838,2586,9265
805,4599,9259
1171,4730,9249
401,5198,9245
1118,4463,9245
1157,4739.5,9242
359,4530,9241
1462,5937.5,9238
1555,5327,9237
10788,3435,9236
490,4532,9229
10804,3545,9221
1563,5348.5,9220
1564,5265,9219
10801,3398.5,9204
1128,4541,9195
766,4919,9194
171813,6805.5,9194
2249,5777.5,9190
1463,5792,9177
1685,3136,9173
576,4235.5,9170
78844,3860.5,9162
10593,3271,9157
1169,4747,9150
716,3718,9143
1257,4572,9138
1436,4959,9135
1464,5863,9131
1041,4500.5,9130
803,4488,9129
846675,10128,9123
1444,4727,9119
450700,3434.5,9114
184327,7174,9111
1524,5076.5,9110
1450,4492.5,9110
407,3308.5,9108
1544,5369,9105
2945,3606,9104
1389,6100,9093
1147,4825,9084
1468,5932,9071
10854,3714,9068
767,4937,9065
2254,5213,9062
1149,4501,9062
1554,5410.5,9058
460420,3568,9057
321443,2259,9055
150991,1753,9049
1523,5047,9048
1553,5170,9044
1525,5335,9037
11383,3535,9035
521,4756.5,9022
1023,4681,9019
2992,6481.5,9018
882,4433,9013
493595,9673,9010
1480,5794.5,9006
4890,972,9005
11123,3418,9005
254758,3290,9001
9154,6694,8996
10856,3652,8993
187519,3121,8989
22252,2066,8986
795,5007,8986
11398,3490.5,8972
11387,3648,8963
10855,3652,8952
1481,5714,8947
570,4922,8944
420308,3069,8939
771,4400,8938
1558,5631,8933
1467,5969,8932
8192,7773,8917
1341,4620,8915
2706,6272,8913
1127,4510,8908
546,4334,8907
395,3951.5,8902
750,4679,8897
11122,3458,8895
9601,3743,8892
30571,14523,8887
12025,5194,8875
491,4311,8868
33854,3947.5,8862
11385,3628.5,8860
768,4924.5,8850
325423,6619,8849
301,6456,8847
1546,5495,8847
1141,4786,8841
10760,3110,8834
1378,5354,8831
1561,5445,8829
11121,3456,8823
1124,4406,8822
2699,5396,8820
345357,4749,8817
1551,5312,8814
10796,3570,8812
1047,4335.5,8808
1441,5191,8808
1150,4615,8804
1701,4104,8799
1129,4561,8794
2613,3535.5,8792
1466,5860.5,8790
2874,5539,8789
1046,4055,8786
1543,5552,8785
10803,3634,8780
10594,3314.5,8780
1082,3940,8779
80427,6683,8776
3573,4739.5,8776
10798,3588,8770
1151,4751,8769
454,5160,8769
665,4472,8767
90173,5114,8762
56737,2006,8762
1121,4452,8759
1465,5761,8756
1395,6162,8751
433832,3686,8749
10531,3184,8743
542,5175,8740
423,4911,8734
11124,3410.5,8720
3159,4525,8719
1081,3971,8716
731,4776,8712
1042,4457,8697
1565,5272,8697
1117,4494,8697
94799,2940,8690
1130,4497,8689
51120,2113,8683
1136,4612,8674
1914,2400,8673
1545,5611,8673
250,4507,8673
1139,4607,8669
2993,6432,8665
493616,10665,8661
431,3608,8660
1142,4778,8651
1552,5317,8651
344497,2955,8646
11148,3002,8639
3136,4578.5,8622
1676,4637.5,8612
1338,5081.5,8610
587,4522.5,8608
1571,5421,8597
1482,5679,8594
345356,4943,8589
10900,3073,8583
1098,4314,8580
1526,5558.5,8576
1566,5207.5,8572
1146,4734,8571
10800,3542,8570
1135,4803,8561
11053,3296,8559
478,5434,8558
787,4956.5,8556
2982,5888,8553
2282,3685,8545
1143,4820,8538
10802,3553,8535
11125,3403,8527
1122,4700,8525
737,4259,8525
1366,5558,8521
10795,3565,8518
1110,4192,8515
522,5740.5,8510
1283,5660,8509
325424,6593,8501
1550,5400,8500
1506,5762.5,8500
10799,3598,8489
1504,6030.5,8482
2007,3560,8480
736,4427.5,8480
1145,4740.5,8478
856,5569,8478
808,4861.5,8474
1572,5403.5,8470
1144,4736,8468
11388,3682,8465
947,4885,8462
265,3525,8459
334,993,8459
761,4903,8457
1123,4553,8451
1687,3492,8451
1568,5372.5,8450
2248,5808,8447
1549,5383,8447
1591,5042,8443
1442,5064.5,8442
1359,5040,8439
2092,6873.5,8428
1581,5280.5,8424
1548,5372,8419
10857,3647.5,8414
16291,4654,8412
11477,4523.5,8406
1173,4972,8403
1583,5673,8399
11316,3606,8396
1014,3787,8384
2295,4135.5,8370
263,3796,8367
11391,3465,8365
1547,5602.5,8362
1443,4960,8357
657,4307,8357
1182,4575,8357
1494,5943,8354
1451,4648,8353
360,3476,8351
1403,5655,8341
1535,5265,8337
1493,5842,8332
1505,6017,8331
10791,3342,8330
622,5941,8329
1037,4841.5,8328
1021,4601.5,8322
1431,5170,8317
1560,5581,8317
1690,3459,8314
1388,6077,8313
1516,5338.5,8304
1570,5601,8297
1688,3787.5,8296
773,4746,8290
75133,3607.5,8286
1258,4704,8286
1522,5266,8283
228,4299,8282
299904,4135,8274
912,5018,8274
738,4431,8262
461,4572,8261
852,4625,8260
1530,5286,8259
966,4204.5,8258
62086,5691,8257
1179,4746,8255
1582,5318,8255
419627,3518,8254
1567,5225,8234
1492,5809,8233
51169,2099,8233
1573,5468.5,8230
668,4049,8225
1011,3761.5,8224
807,4803,8222
327584,4451,8215
1483,5554,8210
1430,5394.5,8206
325405,6600,8199
1559,5560,8193
