"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","8100","6617.466093014","1893","2.181","1","1","2","1.55","0.765943996","4362","8051.0","89","34","154","2.497","4362","2233","10620","52.26","2.57","8.0 - 8.1 s","0.4339752407152682","0.45314564657031","5"
"article","Desktop","0","8200","6851.181418445","1762","2.166","1","1","2","1.568","0.77901151","4241","8149.0","106","33","156","2.468","4241","2257","10155","54.58","2.6","8.1 - 8.2 s","0.41546804998821035","0.45314564657031","5"
"article","Desktop","0","8300","6811.180506176","1782","2.132","1","1","2","1.541","0.76729783","4120","8251.0","93","35","161","2.464","4120","2110","9896","52.4","2.68","8.2 - 8.3 s","0.4325242718446602","0.45314564657031","5"
"article","Desktop","0","8400","6811.916116426","1762","2.117","1","1","2","1.516","0.764013494","4000","8349.0","74","34","164","2.449","4000","2033","9546","51.78","2.73","8.3 - 8.4 s","0.4405","0.45314564657031","5"
"article","Desktop","0","8500","6926.107472619","1651","2.201","1","1","2","1.554","0.7720739","3895","8450.0","105","35","160","2.487","3895","2020","9372","53.3","2.67","8.4 - 8.5 s","0.4238767650834403","0.45314564657031","5"
"article","Desktop","0","8600","7089.620612438","1613","2.21","1","1","2","1.555","0.772890736","3789","8550.0","85","36","167","2.495","3789","1973","9181","53.27","2.78","8.5 - 8.6 s","0.4257059910266561","0.45314564657031","5"
"article","Desktop","0","8700","7067.422226999","1609","2.157","1","1","2","1.573","0.764278081","3663","8650.0","81","36","165","2.521","3663","1851","8918","51.68","2.75","8.6 - 8.7 s","0.43925743925743926","0.45314564657031","5"
"article","Desktop","0","8800","7216.020668616","1494","2.169","1","1","2","1.539","0.773772655","3558","8751.0","70","38","167","2.45","3558","1865","8500","53.47","2.78","8.7 - 8.8 s","0.41989881956155145","0.45314564657031","5"
"article","Desktop","0","8900","7343.191024372","1502","2.221","1","1","2","1.54","0.771038027","3523","8851.0","76","33","158","2.487","3523","1849","8541","53.64","2.63","8.8 - 8.9 s","0.42634118648878794","0.45314564657031","5"
"article","Desktop","0","9000","7402.0100547","1318","2.263","1","1","2","1.548","0.783211287","3305","8951.0","60","34","160","2.45","3305","1789","7871","55.13","2.67","8.9 - 9.0 s","0.39878971255673223","0.45314564657031","5"
"article","Desktop","0","9100","7503.18706401","1319","2.209","1","1","2","1.57","0.775836772","3180","9051.0","79","35","171","2.486","3180","1677","7691","54.08","2.85","9.0 - 9.1 s","0.4147798742138365","0.45314564657031","5"
"article","Desktop","0","9200","7565.365089962","1320","2.154","1","1","2","1.578","0.77817304","3186","9150.0","75","35","164","2.47","3186","1693","7628","54.42","2.73","9.1 - 9.2 s","0.4143126177024482","0.45314564657031","5"
"article","Desktop","0","9300","7652.793440803","1308","2.175","1","1","2","1.551","0.773604171","3135","9251.0","73","31","137","2.459","3135","1648","7459","53.82","2.28","9.2 - 9.3 s","0.4172248803827751","0.45314564657031","5"
"article","Desktop","0","9400","7678.882719575","1309","2.245","1","1","2","1.56","0.768940355","3064","9350.0","65","35","167","2.519","3064","1586","7492","52.88","2.78","9.3 - 9.4 s","0.42721932114882505","0.45314564657031","5"
"article","Desktop","0","9500","7807.782638874","1269","2.286","1","1","3","1.555","0.77324448","3045","9451.0","76","34","155","2.508","3045","1611","7440","54.26","2.58","9.4 - 9.5 s","0.41674876847290643","0.45314564657031","5"
"article","Desktop","0","9600","8005.840159709","1105","2.462","1","1","2","1.542","0.787742444","2860","9551.0","71","36","174","2.494","2860","1584","6924","56.79","2.9","9.5 - 9.6 s","0.38636363636363635","0.45314564657031","5"
"article","Desktop","0","9700","8031.908434115","1117","2.247","1","1","2","1.535","0.779488236","2760","9649.0","70","34","153","2.444","2760","1477","6574","54.91","2.55","9.6 - 9.7 s","0.4047101449275362","0.45314564657031","5"
"article","Desktop","0","9800","8132.691649782","1079","2.345","1","1","2","1.57","0.775938712","2635","9752.0","59","35","177","2.531","2635","1396","6499","54.19","2.95","9.7 - 9.8 s","0.4094876660341556","0.45314564657031","5"
"article","Desktop","0","9900","8166.994202894","1040","2.263","1","1","3","1.508","0.790933792","2718","9852.0","61","36","156","2.374","2718","1510","6301","56.83","2.6","9.8 - 9.9 s","0.3826342899190581","0.45314564657031","5"
"article","Desktop","0","10000","8308.076211631","968","2.291","1","1","3","1.515","0.793359825","2530","9950.0","59","34","166","2.392","2530","1432","5848","57.95","2.77","9.9 - 10.0 s","0.3826086956521739","0.45314564657031","5"
"article","Desktop","0","10100","8367.32178705","1027","2.176","1","1","2","1.503","0.786177608","2575","10050.0","65","34","157","2.371","2575","1421","6822","56.61","2.62","10.0 - 10.1 s","0.3988349514563107","0.45314564657031","5"
"article","Desktop","0","10200","8331.770226002","972","2.434","1","1","3","1.557","0.787544194","2494","10151.0","46","32","147","2.506","2494","1394","6069","56.94","2.45","10.1 - 10.2 s","0.3897353648757017","0.45314564657031","5"
"article","Desktop","0","10300","8494.44749884","898","2.259","1","1","3","1.583","0.794293192","2355","10251.0","58","37","182","2.445","2355","1321","5569","57.51","3.03","10.2 - 10.3 s","0.3813163481953291","0.45314564657031","5"
"article","Desktop","0","10400","8664.619535926","849","2.329","1","1","2","1.546","0.793943409","2229","10350.0","39","36","174","2.434","2229","1256","5553","57.35","2.9","10.3 - 10.4 s","0.38088829071332436","0.45314564657031","5"
"article","Desktop","0","10500","8706.473480395","838","2.2","1","1","2","1.483","0.801299525","2265","10448.0","59","35","158","2.298","2265","1304","5080","59.11","2.63","10.4 - 10.5 s","0.36997792494481235","0.45314564657031","5"
"article","Desktop","0","10600","8724.689534924","900","2.243","1","1","2","1.527","0.789792748","2336","10552.0","63","33","144","2.392","2336","1296","5372","57.02","2.4","10.5 - 10.6 s","0.3852739726027397","0.45314564657031","5"
"article","Desktop","0","10700","9085.308645733","872","2.154","1","1","2","1.533","0.791848737","2251","10652.0","47","37","164","2.368","2251","1254","5181","56.9","2.73","10.6 - 10.7 s","0.38738338516215015","0.45314564657031","5"
"article","Desktop","0","10800","8929.646457761","821","2.347","1","1","2","1.509","0.79484791","2205","10749.0","39","36","154","2.383","2205","1263","5136","58.31","2.57","10.7 - 10.8 s","0.3723356009070295","0.45314564657031","5"
"article","Desktop","0","10900","8930.979163657","838","2.397","1","1","3","1.508","0.786599052","2153","10851.0","47","37","162","2.441","2153","1194","5132","56.7","2.7","10.8 - 10.9 s","0.3892243381328379","0.45314564657031","5"
"article","Desktop","0","11000","9236.003469481","797","2.45","1","1","3","1.548","0.788064892","2054","10949.0","55","37","176","2.499","2054","1141","4979","57.08","2.93","10.9 - 11.0 s","0.38802336903602724","0.45314564657031","5"
"article","Desktop","0","11100","9227.388358802","783","2.421","1","1","2","1.559","0.795109668","2084","11049.0","48","34","158","2.468","2084","1187","5009","58.3","2.63","11.0 - 11.1 s","0.3757197696737044","0.45314564657031","5"
"article","Desktop","0","11200","9256.588403046","777","2.48","1","1","3","1.535","0.795043074","2071","11149.0","64","36","168","2.466","2071","1178","4944","58.69","2.8","11.1 - 11.2 s","0.3751810719459198","0.45314564657031","5"
"article","Desktop","0","11300","9420.149029669","729","2.384","1","1","3","1.596","0.79910686","1945","11249.0","43","37","174","2.489","1945","1113","4711","58.52","2.9","11.2 - 11.3 s","0.37480719794344475","0.45314564657031","5"
"article","Desktop","0","11400","9338.574276487","774","2.321","1","1","3","1.559","0.792906656","2035","11351.0","52","37","177","2.442","2035","1156","4794","58.3","2.95","11.3 - 11.4 s","0.38034398034398037","0.45314564657031","5"
"article","Desktop","0","11500","9446.98451723","749","2.202","1","1","2","1.52","0.791639509","1959","11451.0","49","40","166","2.362","1959","1103","4505","57.75","2.77","11.4 - 11.5 s","0.3823379275140378","0.45314564657031","5"
"article","Desktop","0","11600","9694.733143832","722","2.189","1","1","2","1.552","0.801705656","1943","11551.0","48","37","166","2.366","1943","1101","4453","58.1","2.77","11.5 - 11.6 s","0.37159032424086463","0.45314564657031","5"
"article","Desktop","0","11700","9493.763829994","721","2.271","1","1","3","1.582","0.790606177","1876","11651.0","46","35","151","2.455","1876","1045","4473","57.1","2.52","11.6 - 11.7 s","0.3843283582089552","0.45314564657031","5"
"article","Desktop","0","11800","9812.76331951","667","2.349","1","1","3","1.537","0.810429986","1912","11749.0","38","34","154","2.356","1912","1121","4384","59.82","2.57","11.7 - 11.8 s","0.34884937238493724","0.45314564657031","5"
"article","Desktop","0","11900","9986.084052223","656","2.408","1","1","3","1.488","0.800399192","1798","11852.0","41","41","193","2.367","1798","1051","4088","59.82","3.22","11.8 - 11.9 s","0.36484983314794217","0.45314564657031","5"
"article","Desktop","0","12000","9914.42534724","613","2.327","1","1","2","1.429","0.805370143","1726","11949.0","31","37","156","2.256","1726","1031","3814","60.83","2.6","11.9 - 12.0 s","0.3551564310544612","0.45314564657031","5"
"article","Desktop","0","12100","9863.370807316","642","2.334","1","1","3","1.539","0.800625127","1755","12051.0","42","39","154","2.393","1755","1020","4066","59.54","2.57","12.0 - 12.1 s","0.3658119658119658","0.45314564657031","5"
"article","Desktop","0","12200","10041.555093286","567","2.402","1","1","3","1.52","0.813287638","1673","12148.0","40","36","167","2.334","1673","1005","3777","61.54","2.78","12.1 - 12.2 s","0.3389121338912134","0.45314564657031","5"
"article","Desktop","0","12300","10220.640342774","596","2.335","1","1","3","1.498","0.807959544","1684","12250.0","30","37","149","2.324","1684","1011","3778","61.12","2.48","12.2 - 12.3 s","0.35391923990498814","0.45314564657031","5"
"article","Desktop","0","12400","10219.697975934","582","2.371","1","1","3","1.461","0.803788962","1641","12351.0","32","36","158","2.302","1641","975","3664","60.6","2.63","12.3 - 12.4 s","0.3546617915904936","0.45314564657031","5"
"article","Desktop","0","12500","10383.210032397","566","2.275","1","1","2","1.493","0.808493324","1592","12450.0","31","36","143","2.302","1592","940","3552","60.22","2.38","12.4 - 12.5 s","0.3555276381909548","0.45314564657031","5"
"article","Desktop","0","12600","10629.943101527","513","2.345","1","1","3","1.486","0.810446084","1471","12551.0","28","39","162","2.304","1471","889","3276","61.61","2.7","12.5 - 12.6 s","0.3487423521414004","0.45314564657031","5"
"article","Desktop","0","12700","10323.565108113","565","2.364","1","1","3","1.535","0.801170901","1562","12652.0","44","39","162","2.391","1562","912","3726","60.08","2.7","12.6 - 12.7 s","0.3617157490396927","0.45314564657031","5"
"article","Desktop","0","12800","10676.045677209","539","2.478","1","1","3","1.522","0.807307157","1534","12751.0","39","37","163","2.393","1534","910","3554","60.87","2.72","12.7 - 12.8 s","0.3513689700130378","0.45314564657031","5"
"article","Desktop","0","12900","11028.625864057","505","2.502","1","1","3","1.515","0.811255962","1478","12848.0","42","40","176","2.37","1478","876","3398","61.0","2.93","12.8 - 12.9 s","0.3416779431664411","0.45314564657031","5"
"article","Desktop","0","13000","10878.788288396","494","2.447","1","1","3","1.555","0.816208042","1466","12951.0","41","34","150","2.38","1466","888","3382","62.32","2.5","12.9 - 13.0 s","0.3369713506139154","0.45314564657031","5"
"article","Desktop","0","13100","10732.168496619","554","2.344","1","1","3","1.494","0.797656202","1484","13050.0","30","37","157","2.369","1484","854","3411","58.73","2.62","13.0 - 13.1 s","0.37331536388140163","0.45314564657031","5"
"article","Desktop","0","13200","10890.442233851","540","2.387","1","1","3","1.595","0.800528277","1475","13150.0","35","38","155","2.469","1475","839","3527","58.26","2.58","13.1 - 13.2 s","0.36610169491525424","0.45314564657031","5"
"article","Desktop","0","13300","10901.5068676","506","2.575","1","1","3","1.537","0.804431537","1422","13249.0","39","39","170","2.454","1422","847","3358","61.24","2.83","13.2 - 13.3 s","0.3558368495077356","0.45314564657031","5"
"article","Desktop","0","13400","11111.660855537","472","2.247","1","1","3","1.494","0.804736943","1313","13352.0","26","44","175","2.302","1313","767","2958","59.6","2.92","13.3 - 13.4 s","0.3594821020563595","0.45314564657031","5"
"article","Desktop","0","13500","11202.093706994","483","2.308","1","1","3","1.572","0.807028046","1365","13450.0","31","39","161","2.389","1365","797","3176","59.75","2.68","13.4 - 13.5 s","0.35384615384615387","0.45314564657031","5"
"article","Desktop","0","13600","11424.337654573","461","2.555","1","1","3","1.547","0.815431432","1356","13551.5","30","36","156","2.416","1356","818","3202","61.69","2.6","13.5 - 13.6 s","0.33997050147492625","0.45314564657031","5"
"article","Desktop","0","13700","11144.498443962","491","2.464","1","1","2","1.576","0.803068225","1355","13649.0","34","37","162","2.469","1355","772","3220","58.44","2.7","13.6 - 13.7 s","0.36236162361623614","0.45314564657031","5"
