IMAGES,TTI,FREQ
365,5230,43234
356,6042,42971
381,6532,42795
620,6604,42728
308,5786.5,42668
386,6862,42653
322,6154,42563
376,5755,42553
379,6546.5,42336
278,6314.5,42216
383,6194,42112
613,7306,42014
294,6195,41750
316,6064,41673
296,6137.5,41444
385,6591,41263
382,6731,41256
368,5397,41114
357,5872,41096
372,5011,41075
378,5451,40903
359,5400,40880
339,5682,40730
300,6797,40697
306,6209,40674
370,5703,40652
276,5483,40530
624,7697,40398
384,6437,40104
362,5491,40005
307,6252,39916
619,7194.5,39500
373,5319,39385
310,5882,39368
343,5652,39215
336,5888,39179
371,6390,39025
323,6369.5,38472
325,5752,38423
627,7300,38106
626,7407.5,37878
311,5548,37804
337,5705,37795
358,5591,37739
374,6512,37661
340,5550,37454
350,6142,37419
338,6042,37267
615,6919,37235
632,7485,36754
314,5286,36510
628,7159,36442
344,5687,36241
367,6050,35699
342,5994,35516
335,6024.5,35264
366,5847,35125
355,6858,34563
313,5788,34435
377,5825,34422
349,6189,34118
345,6730,33560
326,6266,33550
303,6454,33452
332,6633.5,33356
352,6878.5,33340
354,6485.5,33334
353,6477,33274
375,7046.5,32978
347,5973,32881
630,8026,32767
331,6618,32249
330,6690.5,31734
621,8208,31533
327,6851.5,31398
351,6868,31392
333,6952,31189
348,6254,31181
629,6457,30938
312,5537.5,30938
622,7888,29624
346,6940,29582
341,6734,29518
633,7723,26379
329,7940,25837
635,7868,25744
636,7570,25561
631,7549,24722
634,7521,23696
640,5961,20838
639,7111,13901
643,5184,13197
637,7845,12689
649,7872,12555
647,7551.5,12340
646,5383,11992
641,7016,11762
652,5934.5,11444
638,8083.5,11302
653,6413,11299
650,6129,10989
656,8678,10890
655,7070,10804
651,6162,10375
654,6253,10335
648,5971,10087
662,4839,9779
644,5732,9153
951,4733,8651
657,5690,8439
645,7111,8229
642,8998,7943
673,6699,7715
661,6887,5851
658,6050.5,5774
669,6511,5682
672,6484,4683
660,6692,3963
663,6572,3869
1125,4560,3617
670,6785,3451
666,4676,3170
1190,4784,3105
674,6802.5,3074
659,7633,2569
664,7109.5,2164
671,6521,1916
695,9046,1916
996,17528,1877
995,19268,1533
665,6170,1516
733,5956,1441
952,4369,1411
700,5916,1386
667,4948,1338
746,3381,1293
794,7058.5,1272
694,6403,1248
940,4360,1185
803,6670,1171
676,7067,1165
750,7003,1101
692,5207,1091
696,7446.5,1010
683,6083,998
685,7078.5,996
719,5909,968
765,7076.5,916
998,19228,889
993,18934,889
757,8753,876
703,4971,872
999,16409,865
994,17686.5,862
702,5995.5,854
859,8136.5,850
713,9160.5,842
668,6542,842
718,6876,830
730,6889,823
861,8564.5,822
778,4743.5,792
681,6368,784
689,6887,751
734,7858,743
715,7124,737
697,7043,730
677,7145,723
691,6747.5,688
1276,3714,683
783,7704,664
2248,4166,661
675,6909,649
2256,4431.5,648
865,5277,643
740,9485,635
684,6585,634
767,5397,632
2258,4258.5,628
731,10434,627
693,5978,624
772,4784,615
771,7421,615
777,7825,609
822,5776,607
1288,2090,607
1278,3020.5,604
688,6628,601
682,5846,598
818,8925,595
997,16933,591
939,6917,584
690,6060,581
678,6778,579
701,6872,579
686,5632,571
679,7024,565
714,6902,565
798,5633.5,560
789,6798.5,554
784,6534,554
749,7613,552
720,6995,547
755,7225,547
711,7144,538
724,6755,536
806,7095,535
819,10155,534
1191,4710,527
729,8560,527
766,5880,525
785,7377,525
857,7731,523
2254,4681,518
760,6604,517
738,10082.5,512
680,6657,507
872,5663,504
748,5911,503
2252,4372.5,502
1186,6094,501
768,5673,501
1126,4119,501
787,6640,495
882,4247,495
716,7160,495
970,6571,493
943,6484,489
792,5656.5,486
815,7067,485
706,6961,485
791,6265.5,484
705,7318.5,480
781,7059,473
788,6109,469
732,8551.5,458
699,5775,456
687,7006.5,454
707,6800.5,450
704,6516,440
802,5344.5,436
841,6422.5,434
1185,5266,428
759,7054,427
953,6495.5,426
762,6646.5,426
776,6068.5,422
810,5014,421
852,6276,421
955,6974,418
741,7728,409
708,7091,409
790,6874,401
712,6652,401
891,6604.5,400
823,4855.5,400
936,5668,398
805,4813.5,396
698,7202,395
813,6098,394
801,6350.5,392
949,5926.5,388
935,6703,387
821,5922,384
820,6743,379
761,6633.5,376
742,6500,375
736,6928,374
850,7022,372
780,6391,371
958,7620,367
722,6683.5,366
739,6252.5,366
907,6380,365
756,5966,363
800,5908,361
728,6583.5,360
751,6779.5,358
945,7205.5,358
854,7541,355
775,6661,355
853,8479,355
744,6564,354
793,6095,353
817,8242,352
826,6396,349
1277,2587.5,344
764,7376,341
1280,2395,341
933,7263,341
957,7926,341
709,8776,339
893,6935,337
969,6680,333
942,7207.5,332
971,6455,331
901,7091,331
754,5669,330
976,6603,329
727,6438.5,328
807,5085,327
795,6639,327
941,7826.5,326
726,7401.5,326
881,7002.5,324
725,6021,324
814,6372.5,324
717,6209,323
909,6306,323
895,6424.5,322
858,7936.5,322
735,6898,322
723,6526,321
1136,10438,321
947,7503,321
937,6853.5,320
753,7030,320
883,6479,320
903,6877,319
905,6320,317
804,6709,316
929,6896,316
824,6348,314
963,6694,314
710,8041,313
816,7549,313
964,6200,312
797,7359,311
830,7936,310
752,6854,310
1268,5180,309
974,7477.5,308
782,6569.5,308
774,6149,307
911,7230,305
948,7296,305
923,7333.5,304
917,6486,302
786,7004,301
770,7179,299
962,7243,299
965,6364,298
745,6668,296
809,6031,295
913,7725.5,294
848,6305,293
812,5753,290
1279,2174,288
973,7445,288
930,6171,287
887,6413,287
758,7294,287
927,7657,285
921,7450.5,282
799,7263,281
849,6633,281
925,6782,279
856,7186,279
737,6255,279
796,6678,278
879,6915,277
808,6621,276
967,7104,275
946,7355,275
931,6916.5,274
959,7395,274
968,7033,273
938,6495,272
960,7514,272
877,6794.5,270
899,7007,269
864,6535,268
954,7695,267
721,6680,265
915,7036,263
825,5685,262
944,6671.5,260
769,6790,260
975,7984.5,260
2221,3244,259
919,7323,259
873,7704,257
979,8093,256
904,6504,256
1272,4973.5,256
743,7129.5,256
829,6343,255
966,7624,254
1024,6362.5,254
978,6607,253
897,6639.5,250
950,6968,250
2209,4394,247
885,6937,246
934,7433,245
961,7639.5,244
838,6619.5,244
747,7002,243
956,6787,243
779,7436,243
928,6893,241
992,8266,240
991,7977.5,240
844,6173,233
876,6540,232
932,8158,231
833,6143,229
977,7306,229
875,6888,228
763,6434.5,226
840,5458.5,226
889,6581,226
845,6263,225
878,5469,225
843,6578,224
1104,6208.5,224
869,6921.5,222
863,6899,222
2255,4346.5,220
851,6888,220
1123,4470,219
2257,4800,218
831,6721,217
828,7040,217
874,6626,215
902,6831,215
773,6087,211
972,7003,211
1274,4547.5,210
834,6100,210
2211,3411.5,210
811,6204,209
981,7824.5,208
871,7233,207
986,6894,207
835,6326,207
926,7244,206
886,7371,206
839,6435.5,206
855,6952,205
1270,3938,205
983,7945,204
862,6520,204
827,6049,204
884,5683,204
982,7096,201
1048,5638,201
924,7078,201
987,7823.5,200
906,6813,200
980,7280,199
836,7455,199
846,8102,196
867,6259,195
832,7343,195
1284,2697,193
860,6126,193
1533,3620.5,190
1281,3606,189
2283,6984,189
2259,3458.5,186
2260,2776,186
900,6575,185
1117,11631.5,184
837,6511,184
898,6058,183
847,6943,183
2215,3459,181
912,6381,181
916,6793,181
2246,4874,181
1000,8891,181
870,7456,180
918,6974,178
1003,7649,175
984,7471.5,174
2253,4072,174
842,6916,174
1023,5970,173
2249,3561,173
890,5948.5,172
888,6156.5,172
920,5923,170
2250,4245,170
1004,7164,169
1156,6369.5,168
2223,3627.5,168
880,7224,167
990,7127,167
1273,3703,166
988,7293,165
866,7223,165
914,7326,165
910,6796,164
1138,8794,163
908,7348,163
1166,6885,163
985,7749,163
1006,8250.5,162
1001,10051,162
922,6675,161
1287,2211,159
989,7656,157
1008,7278,153
1283,2635,152
1749,8849,147
896,6327,145
3574,4024,145
1011,6199,145
1541,2741,145
1007,7651,145
1275,2378,145
892,6536.5,144
2213,4166,143
1139,10107,142
868,5853,141
1015,8042.5,138
1009,7753,137
1088,5340,137
1542,3097,136
1002,7522,134
1005,7747.5,132
894,6137,131
1040,6549,130
1076,6530.5,130
1286,2175,127
1013,7313,124
1105,5867,122
2266,3154,121
1010,7610,121
1019,7800.5,120
1891,22680,120
1210,6665.5,120
1282,3740,119
1016,7138,119
2284,7734.5,116
1330,5338,116
1116,8023.5,114
2217,3005,113
1748,6572,113
1114,7895,112
1072,5990,112
1035,6271,112
1534,7730,110
2251,3895,110
1102,7024,108
1078,6263.5,106
1031,7789,106
1068,5562,106
1025,7524.5,104
1898,14416,103
1014,7534.5,102
2243,19315,101
2219,2797,101
1750,10943.5,100
1047,6980,100
1285,2466.5,100
1271,2374,99
1046,6435,99
2210,4900,99
1097,7503,97
1018,7342,97
2247,3559,97
1370,7844,97
2212,4269,97
1077,6558,97
1318,7504.5,96
1021,8560,95
1012,6656.5,94
2264,3651,94
5042,3157.5,94
1632,5483,93
1352,7808,92
2233,2803.5,92
1196,7316.5,92
1039,7904,91
1269,4361,91
1017,6914,91
2220,2622,91
2216,2732.5,90
1520,3974.5,90
2244,2742,90
1392,7118,89
1134,6883,89
1033,9108,88
1029,7568.5,88
3466,3577.5,88
1103,7165.5,86
1041,7059,86
1448,5730,86
2262,3347,86
1020,7130,85
1454,7914.5,84
1030,7905.5,84
2214,3811,83
2270,2532,83
2268,4741,82
1204,5393,81
1028,7121,79
2222,4244,79
1518,3825.5,78
2224,3493,78
1022,6215,78
1884,4994.5,78
2263,3151,78
1036,7718,77
1205,6703,77
1027,6100,77
1118,7423,77
1090,6080,77
1032,7665,76
1034,6415,76
1050,6788.5,76
1045,6335.5,76
1092,7151,75
1098,6595.5,74
1213,5388,73
1175,6416,72
1094,5935.5,72
2218,2520.5,72
1188,6756,71
2261,4030,70
1056,6811,69
1124,5281.5,68
