LASTFONT,TTI,FREQ
1134,3191.5,238
1385,3559,238
847,2353,238
1783,4551.5,238
1683,4178.5,238
1263,3142.5,238
1110,2956.5,238
1648,4410,238
1618,4426.5,238
1184,3406,238
1921,4714,237
1807,4512,237
1041,2833,237
1376,4021,237
1152,3390,237
2242,5406,237
1330,3775,237
1546,4262,237
1366,3966,237
1870,4386,237
1604,4049,237
1171,3490,237
1423,4043,237
1336,3709,237
1181,3188,237
2048,5039,237
1909,4526,237
1096,3096,237
1881,4553,237
1777,4530,237
2123,4802,237
979,2637,237
1148,3139,237
1434,3762,237
1894,4616,237
1249,3476,237
1254,3581,237
1620,4284,237
1269,3647,237
1121,3258,237
1651,4227,237
999,2828,237
1047,2728,237
1035,3280,237
1129,3129.5,236
913,2658.5,236
1664,4473,236
1068,2889.5,236
1533,4111.5,236
1964,4707,236
1226,3445,236
1996,4641.5,236
2225,5436,236
1740,4094.5,236
1007,2860,236
1583,4019.5,236
1796,4643.5,236
1627,4681.5,236
1674,4391,236
1089,3163.5,236
1984,4607.5,236
1004,2822,236
2161,5108,236
2010,5066,236
1610,4142.5,236
1702,4336,236
1057,2804.5,236
2091,5043.5,236
2008,5163,236
1109,2906.5,236
1791,4634,236
1769,4659.5,236
1251,3533,236
1992,4968.5,236
1652,4420,236
1370,3926.5,236
1437,3796,236
937,2657,236
2159,5242.5,236
969,2556.5,236
1835,4556.5,236
919,2794,236
1229,3149,235
921,3190,235
1080,3083,235
1117,3202,235
878,2633,235
1782,4968,235
1859,4913,235
1864,5140,235
1359,3844,235
1441,3879,235
2088,5245,235
1154,3174,235
1398,3799,235
1854,4562,235
2106,4870,235
1198,3169,235
1952,4991,235
1112,3241,235
1536,4215,235
1852,4577,235
1897,5290,235
1131,3417,235
1311,4040,235
1715,4642,235
1821,4548,235
1736,4431,235
1655,4097,235
1967,4548.5,234
1621,4477.5,234
1956,4456.5,234
1868,4490,234
1147,3077,234
1866,4532.5,234
1738,4550,234
1292,3543,234
1438,3931.5,234
1085,3048.5,234
1161,3131.5,234
950,2971.5,234
1003,2958,234
1892,4893,234
1654,4423.5,234
1838,4347.5,234
1775,4680,234
1720,4642,234
2002,4916.5,234
1624,4300.5,234
1829,4906,234
1142,3036,234
1808,4805.5,234
1099,3075,234
1585,4076,234
2230,5165.5,234
1264,3565.5,234
1995,4845,234
1608,4289,234
1524,4204.5,234
2022,4654.5,234
1950,4514.5,234
1637,4688.5,234
1787,4805,233
1296,3931,233
1383,4086,233
1874,4816,233
2065,4851,233
1318,3214,233
1928,4159,233
1889,4973,233
1471,4228,233
1086,2839,233
935,2778,233
1601,4414,233
991,2902,233
1508,3769,233
2042,4762,233
839,2340,233
946,2639,233
1386,3980,233
1936,4867,233
986,2769,233
1877,4725,233
908,2634,233
1561,4240,233
1169,3323,233
1310,3475,233
2250,4774,233
2139,5608,233
2074,4739,233
1176,3524,233
1373,3479,233
1558,4062,233
1049,2991,233
1005,2894,233
1856,4658,233
1895,4503,233
1597,4191,232
1305,3658.5,232
1384,3538,232
1514,4009.5,232
940,2808.5,232
1641,4014,232
1275,3830,232
912,2569,232
1118,3289,232
2197,4926.5,232
1710,4888,232
1948,4602.5,232
1717,4544.5,232
1934,4486.5,232
1844,4411.5,232
1344,3630,232
1043,2806.5,232
1034,3075,232
2116,5200,232
1800,4666,232
1215,3318.5,232
1689,4654,232
1713,4378,232
1939,4514,232
2208,4815,232
1020,2878.5,232
1600,3987,232
1053,3065,232
1119,3107,231
1257,3450,231
1757,4712,231
1090,3522,231
2044,4770,231
1718,4245,231
1346,3547,231
1342,3960,231
893,2335,231
2039,4982,231
1922,4988,231
1879,4906,231
1278,3610,231
894,2485,231
1521,4000,231
1420,3634,231
2167,5101,231
1352,3742,231
1571,4028,231
2199,5194,231
1862,4551,231
1513,3958,231
1904,4936,231
1555,4017,231
917,3009,231
2009,4940,231
1916,4854,231
2227,5319.5,230
2056,4897.5,230
892,2680.5,230
2226,4966.5,230
1617,3992.5,230
2410,5245.5,230
851,2718,230
785,2287,230
932,3006,230
1969,4840,230
882,2752,230
1539,4061,230
1985,4894,230
1092,3036.5,230
2070,4748.5,230
1505,3795,230
1312,3352,230
1687,4501,230
1253,3604,230
2077,5155,230
1981,4822,230
1820,4572.5,230
2059,5152,230
1781,4384,230
1230,3541.5,230
1632,4017,230
1293,3397,230
1458,3623,230
1742,4440,230
2184,4864.5,230
2231,5073,230
1792,4403.5,230
1552,4115,230
1452,4033,230
1599,4125.5,230
1246,3553.5,230
1286,3377,230
1218,3799.5,230
1746,4421.5,230
2143,4769.5,230
1793,4790,230
1507,4210,229
1548,4045,229
1839,4488,229
1361,3823,229
1073,3079,229
983,2978,229
1479,4106,229
2023,5340,229
1534,3811,229
1935,4809,229
2265,5052,229
1537,4066,229
910,2505,229
1943,4843,229
1123,3522,229
1940,4885,229
1886,4741,229
1252,3706,229
1268,3613,229
1779,4469,229
915,2848,229
1707,4560,229
2045,4741,229
1960,4642,229
1694,4379,229
2014,4580,229
1723,4189,229
1919,4611,229
980,3131,229
1576,4418,229
953,2809,229
933,2641,229
972,3011,229
2252,5165,229
1819,4530,229
1595,3990.5,228
943,2607,228
2239,4940,228
1896,4739.5,228
1845,4650.5,228
1570,3975.5,228
2086,4931,228
1066,3037.5,228
1485,4003,228
1207,3318.5,228
1067,2908,228
1208,3499,228
1959,4663,228
1320,3474,228
1530,3740,228
2007,5376,228
2063,4844.5,228
1976,5115,228
1422,3778.5,228
2165,5206,228
1753,4987.5,228
857,2658,228
1858,4701,228
2016,4605,227
1335,3621,227
1036,2944,227
1722,4574,227
2047,4973,227
1972,4930,227
1911,4622,227
826,2448,227
1724,4373,227
1565,3920,227
1963,4539,227
1272,3507,227
1626,4320,227
1776,4584,227
1483,3703,227
1512,3969,227
2203,5256,227
2190,5136,227
1040,2925,227
1925,4678,227
883,2625,227
1612,4510,227
1643,4158,227
1731,5011,227
1221,3846,227
1847,4893,227
1993,4631,227
2108,5334,227
987,2982.5,226
