"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","session_length","sessions","beacons","non_bounce_sessions","bounces","page_visit_time","session_duration","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop",0,4600,20672.585731184,125629,4.11,1,3,5,3.494,0.767982369,248750,4550.0,5.57,248750,1276006,29998,69105,168,1307,31.59,21.78,"4.5 - 4.6 s",0.5050412060301508,1.0,3
"article","Desktop",0,4700,20948.45566792,119318,4.079,1,3,5,3.45,0.77254359,240685,4650.0,5.473,240685,1212902,28534,69194,166,1283,32.62,21.38,"4.6 - 4.7 s",0.4957433990485489,1.0,3
"article","Desktop",0,4800,21049.693197931,113391,4.086,1,3,5,3.395,0.775494764,232518,4750.0,5.388,232518,1154194,27043,69157,165,1260,33.66,21.0,"4.7 - 4.8 s",0.487665471060305,1.0,3
"article","Desktop",0,4900,21246.755884669,108274,4.043,1,3,5,3.367,0.779425504,224774,4850.0,5.315,224774,1099629,26084,69164,163,1243,34.81,20.72,"4.8 - 4.9 s",0.48170162029416214,1.0,3
"article","Desktop",0,5000,21441.707884201,102756,4.053,1,3,5,3.331,0.781930263,216355,4950.0,5.256,216355,1046148,24883,68403,162,1231,35.72,20.52,"4.9 - 5.0 s",0.4749416468304407,1.0,3
"article","Desktop",0,5100,21888.780288471,97393,4.027,1,3,5,3.293,0.785475928,208084,5050.0,5.178,208084,991744,23494,67537,161,1216,36.59,20.27,"5.0 - 5.1 s",0.4680465581207589,1.0,3
"article","Desktop",0,5200,22017.588270318,93591,4.047,1,3,5,3.277,0.785124297,200422,5150.0,5.167,200422,952645,22708,65489,162,1217,36.85,20.28,"5.1 - 5.2 s",0.4669696939457744,1.0,3
"article","Desktop",0,5300,22364.091682764,89360,4.042,1,3,5,3.285,0.785306876,191157,5250.0,5.175,191157,910340,21652,62147,162,1219,36.66,20.32,"5.2 - 5.3 s",0.46746914839634435,1.0,3
"article","Desktop",0,5400,22831.466021222,85473,4.03,1,3,5,3.291,0.784745712,182318,5350.0,5.181,182318,868706,20843,59080,164,1228,36.59,20.47,"5.3 - 5.4 s",0.4688127337947981,1.0,3
"article","Desktop",0,5500,23082.358160544,81366,4.013,1,3,5,3.289,0.783461937,172730,5450.0,5.18,172730,822809,19589,55444,165,1231,36.2,20.52,"5.4 - 5.5 s",0.4710588780177155,1.0,3
"article","Desktop",0,5600,23682.874330365,77180,4.019,1,3,5,3.317,0.782367679,162881,5550.0,5.222,162881,780656,18834,51160,166,1249,35.52,20.82,"5.5 - 5.6 s",0.4738428668782731,1.0,3
"article","Desktop",0,5700,24060.685223964,74211,4.001,1,3,5,3.307,0.780148313,155179,5650.0,5.221,155179,743756,17957,47789,168,1245,34.83,20.75,"5.6 - 5.7 s",0.4782283685292469,1.0,3
"article","Desktop",0,5800,24555.767030172,70905,4.006,1,3,5,3.344,0.779097674,147419,5750.0,5.271,147419,712469,17488,44557,170,1264,34.29,21.07,"5.7 - 5.8 s",0.4809759935964835,1.0,3
"article","Desktop",0,5900,24948.470213675,67749,3.997,1,3,5,3.357,0.777296428,139747,5850.0,5.295,139747,680445,16728,41559,173,1281,33.78,21.35,"5.8 - 5.9 s",0.48479752695943384,1.0,3
"article","Desktop",0,6000,25389.659785575,65016,3.955,1,3,5,3.365,0.777513234,133848,5950.0,5.286,133848,647290,16397,39134,173,1276,33.32,21.27,"5.9 - 6.0 s",0.4857450242065627,1.0,3
"article","Desktop",0,6100,25920.959698256,62599,3.987,1,3,5,3.367,0.774955526,128065,6050.0,5.316,128065,623237,15663,37079,175,1287,32.99,21.45,"6.0 - 6.1 s",0.48880646546675516,1.0,3
"article","Desktop",0,6200,26243.218175353,59618,3.963,1,3,5,3.361,0.775896014,122116,6150.0,5.296,122116,592149,14813,35380,175,1288,32.97,21.47,"6.1 - 6.2 s",0.4882079334403354,1.0,3
"article","Desktop",0,6300,26663.354937097,57080,3.975,1,3,5,3.363,0.773998834,116406,6250.0,5.312,116406,566128,14304,33350,177,1299,32.66,21.65,"6.2 - 6.3 s",0.49035273095888526,1.0,3
"article","Desktop",0,6400,26986.728317665,54941,3.937,1,3,5,3.362,0.776375659,112607,6350.0,5.283,112607,544701,13529,32479,177,1283,32.78,21.38,"6.3 - 6.4 s",0.4879003969557843,1.0,3
"article","Desktop",0,6500,27260.943795923,53342,3.949,1,3,5,3.383,0.77422248,108431,6450.0,5.326,108431,528699,13383,30790,178,1304,32.39,21.73,"6.4 - 6.5 s",0.4919441857033505,1.0,3
"article","Desktop",0,6600,27681.812506699,50577,3.949,1,3,5,3.356,0.774066808,102881,6550.0,5.298,102881,497733,12634,29260,178,1297,32.42,21.62,"6.5 - 6.6 s",0.4916068078653979,1.0,3
"article","Desktop",0,6700,28034.935185807,48832,3.917,1,3,5,3.356,0.774928909,99523,6650.0,5.278,99523,479781,12085,28331,178,1297,32.4,21.62,"6.6 - 6.7 s",0.49066045034816075,1.0,3
"article","Desktop",0,6800,28443.640295381,46354,3.923,1,3,5,3.336,0.775234936,94934,6750.0,5.251,94934,455503,11650,27088,179,1281,32.52,21.35,"6.7 - 6.8 s",0.48827606547706826,1.0,3
"article","Desktop",0,6900,28694.47937235,45140,3.911,1,3,5,3.341,0.774479704,92018,6850.0,5.26,92018,442368,11274,25998,179,1274,32.2,21.23,"6.8 - 6.9 s",0.4905561955269621,1.0,3
"article","Desktop",0,7000,28924.542957562,42707,3.898,1,3,5,3.338,0.776771753,87819,6950.0,5.234,87819,420228,10648,24955,180,1286,32.34,21.43,"6.9 - 7.0 s",0.48630706339174895,1.0,3
"article","Desktop",0,7100,29496.495014018,41068,3.941,1,3,5,3.319,0.774136008,84097,7050.0,5.244,84097,402510,10423,23967,180,1282,32.53,21.37,"7.0 - 7.1 s",0.4883408445009929,1.0,3
"article","Desktop",0,7200,29907.118055246,39306,3.922,1,3,5,3.323,0.776893851,80915,7150.0,5.228,80915,386402,9782,23384,179,1279,32.87,21.32,"7.1 - 7.2 s",0.4857690168695545,1.0,3
"article","Desktop",0,7300,30214.208423256,37585,3.902,1,3,5,3.293,0.777988207,77830,7250.0,5.178,77830,367990,9418,22521,180,1276,32.92,21.27,"7.2 - 7.3 s",0.48291147372478477,1.0,3
"article","Desktop",0,7400,30516.500225072,36275,3.918,1,3,5,3.311,0.776243983,74787,7350.0,5.212,74787,355293,9193,21562,181,1283,32.87,21.38,"7.3 - 7.4 s",0.4850441921724364,1.0,3
"article","Desktop",0,7500,31042.08541175,35631,3.923,1,3,5,3.303,0.776103457,73435,7450.0,5.207,73435,348332,9140,21124,180,1290,32.85,21.5,"7.4 - 7.5 s",0.4852046027098795,1.0,3
"article","Desktop",0,7600,31010.063086781,34950,3.884,1,3,5,3.347,0.77706693,71736,7550.0,5.24,71736,342598,8927,20393,184,1303,32.47,21.72,"7.5 - 7.6 s",0.48720307795249246,1.0,3
"article","Desktop",0,7700,31425.503116166,33841,3.893,1,3,5,3.317,0.775374816,69282,7650.0,5.218,69282,329646,8568,19525,185,1295,32.16,21.58,"7.6 - 7.7 s",0.4884529892324125,1.0,3
