"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","4000","3274.249618671","12068","2.18","1","1","2","1.692","0.727173829","23294","3950.0","457","31","170","2.822","23294","9741","64261","42.65","2.83","3.9 - 4.0 s","0.5180733236026445","0.45315339567370433","5"
"article","Desktop","0","4100","3329.571082379","11558","2.206","1","1","2","1.71","0.723107205","22068","4049.0","442","32","178","2.866","22068","9155","61760","42.33","2.97","4.0 - 4.1 s","0.5237447888345115","0.45315339567370433","5"
"article","Desktop","0","4200","3462.657279953","10865","2.153","1","1","2","1.691","0.727501621","20907","4149.0","442","32","171","2.81","20907","8819","57266","43.09","2.85","4.1 - 4.2 s","0.519682403022911","0.45315339567370433","5"
"article","Desktop","0","4300","3529.689332301","10123","2.186","1","1","2","1.663","0.727562194","19657","4250.0","404","32","172","2.79","19657","8354","53498","43.39","2.87","4.2 - 4.3 s","0.5149819402757287","0.45315339567370433","5"
"article","Desktop","0","4400","3597.25769687","9833","2.161","1","1","2","1.662","0.724468964","18926","4350.0","371","32","175","2.785","18926","7959","51412","42.89","2.92","4.3 - 4.4 s","0.5195498256366903","0.45315339567370433","5"
"article","Desktop","0","4500","3683.212197255","9268","2.202","1","1","2","1.666","0.725817704","17881","4449.0","375","31","170","2.808","17881","7609","48992","43.47","2.83","4.4 - 4.5 s","0.5183155304513171","0.45315339567370433","5"
"article","Desktop","0","4600","3739.257460839","8873","2.127","1","1","2","1.641","0.724337344","16998","4550.0","360","32","169","2.751","16998","7192","45589","43.23","2.82","4.5 - 4.6 s","0.5220025885398282","0.45315339567370433","5"
"article","Desktop","0","4700","3809.592320318","8354","2.175","1","1","2","1.649","0.727343027","16238","4650.0","358","33","173","2.768","16238","6949","43804","43.76","2.88","4.6 - 4.7 s","0.5144722256435522","0.45315339567370433","5"
"article","Desktop","0","4800","3916.192473508","7769","2.162","1","1","2","1.652","0.731502098","15257","4750.0","317","31","168","2.753","15257","6635","41080","44.41","2.8","4.7 - 4.8 s","0.5092088877236678","0.45315339567370433","5"
"article","Desktop","0","4900","3970.832208728","7571","2.124","1","1","2","1.644","0.7251397","14554","4851.0","259","32","164","2.75","14554","6161","40013","43.1","2.73","4.8 - 4.9 s","0.5202006321286244","0.45315339567370433","5"
"article","Desktop","0","5000","4056.798037843","6996","2.165","1","1","2","1.623","0.730340547","13742","4950.0","292","31","164","2.726","13742","6012","36552","44.7","2.73","4.9 - 5.0 s","0.5090962014262844","0.45315339567370433","5"
"article","Desktop","0","5100","4122.06959005","6844","2.115","1","1","2","1.609","0.725886765","13270","5050.0","289","32","165","2.701","13270","5699","34939","43.9","2.75","5.0 - 5.1 s","0.5157498116051243","0.45315339567370433","5"
