IMAGE_SIZE,TTI,FREQ
69816,4290.000,26221
37747,7852.000,26192
545561,2818.000,26068
1912591,3607.000,25980
6201,4141.000,25974
11051207,3934.000,25901
51860,3544.000,25894
8954,2850.000,25789
15303,4168.000,25673
168566,12245.000,25587
1150060,3521.500,25580
545255,4409.500,25576
4980,4597.000,25537
198727,4710.000,25512
667771,12521.000,25321
174763,3373.500,25312
419652,3793.000,25187
542634,4256.000,25145
41091,2063.000,25124
554338,4527.000,25119
22443,4497.000,25057
60302,6283.000,25026
14130,4632.000,25025
11159081,3934.000,25020
42884,5049.500,25006
346928,3407.000,24873
61338,5877.000,24815
37182,3048.000,24743
67519,4088.000,24731
5658,7243.000,24651
38679,7658.000,24629
2407102,2862.000,24614
26591,2167.000,24519
80659,1016.000,24508
1345217,2238.000,24494
53525,5663.000,24481
928550,4245.000,24471
275208,4089.000,24439
45725,5096.000,24368
15086,6542.000,24331
5724,5053.000,24325
18186,5984.000,24239
67564,2354.000,24221
149569,5524.000,24167
18926,6718.000,24165
1047416,5248.000,24075
3494,10064.000,24065
44687,5760.000,24010
41967,6012.000,23991
1406,2266.000,23854
3731,2989.000,23852
8048,7775.000,23801
23676,3231.000,23779
3765,8001.000,23748
251424,10094.000,23661
19749,3345.000,23653
8160,3632.000,23629
8129693,5473.500,23576
3548,11009.000,23432
933154,3634.000,23376
44645,4626.000,23337
10600,5097.500,23280
354934,4644.500,23246
295230,6293.000,23246
12051,2743.000,23245
638578,4136.000,23244
131806,2677.000,23224
361321,3938.000,23213
6880,4874.000,23183
53932,3813.000,23155
370021,3506.000,23015
1730765,7179.500,23010
18887,4482.000,23010
18461,7285.000,23008
4444,3554.000,23004
68728,2164.000,22989
837526,4385.000,22965
73150,3937.000,22931
19567,7222.000,22905
683656,3356.000,22896
57900,4992.000,22890
12054,5961.000,22845
930,6457.000,22841
135870,5774.500,22818
37704,5542.000,22797
2732,3491.000,22786
37702,5539.000,22753
72,8843.500,22698
45672,8122.000,22666
132,2071.000,22630
227738,3641.000,22589
687769,3406.000,22582
77104,7889.000,22519
46409,5011.000,22474
178338,4987.000,22463
16205,9322.000,22368
135786,5322.000,22287
386934,3611.000,22260
143896,3381.000,22236
825718,3382.000,22204
102501,3115.000,22142
166773,7609.000,22102
3410,13353.000,21857
1053614,2983.000,21855
105435,5532.500,21840
66303,5712.000,21838
12170,3506.000,21832
4245,3577.000,21823
888,4439.000,21760
37705,5877.000,21759
93820,1452.000,21600
2026968,6131.000,21565
61201,638.000,21548
140096,5209.000,21445
83601,13650.500,21416
30254,4280.500,21410
5164,1881.000,21372
257546,2440.000,21345
