DOM_SIZE,TTI,FREQ
1528,5737,148045
1532,5682,148015
1337,5452,148004
1356,5099,147965
1086,5662.5,147960
1068,5577,147907
784,4734,147903
465,5098,147897
110,2250,147864
1321,5971,147738
1538,5749,147698
113,2450,147659
1656,5983,147640
1318,5830,147585
559,4586,147578
1601,5529,147561
1100,5303,147553
1529,5715,147532
1067,5613.5,147528
1053,5771,147492
936,5175,147492
1394,5594,147420
207,6237,147398
2964,3800,147353
1079,5855,147323
1350,4928,147311
838,4953.5,147288
1533,5767,147277
1057,5669,147211
940,5152,147173
219,5271,147133
767,5510,147110
1255,5400,147077
763,5276,147036
1594,5717,147033
634,4847,146962
1570,5618,146931
1110,5877,146894
209,6881,146792
1650,6084,146761
1097,5431,146734
1588,5540,146715
1111,5841,146699
772,5264,146657
1562,5746,146647
1668,5926,146636
1546,5405,146614
666,4896,146608
477,4915,146597
1597,5512,146554
1586,5670,146538
1547,5532,146511
1404,5640.5,146496
1695,7456,146494
1107,5726,146390
1282,5476,146384
1654,6054,146362
1054,5894,146360
1359,5395,146320
1510,5452,146302
934,5174,146227
1544,5577,146175
1932,6493,146172
1254,5398,146158
926,5144,146115
1563,5512,146111
1657,6037,146036
1515,5504,146023
1099,5293,146023
1055,5856,145898
1598,5567,145862
1112,5854,145857
400,7146,145770
1564,5772,145769
1536,5645,145766
1571,5734,145750
1545,5566,145744
1587,5639,145687
705,4630,145667
1395,5516,145666
1946,5156,145653
1114,5716,145637
938,5041,145609
1088,5722,145584
1595,5491,145519
1384,5396,145394
1347,5375,145367
1651,6167,145341
1596,5530,145323
1655,6080,145290
1649,6127,145202
864,4742,145197
1239,5415,145184
452,7121,145066
23,2831,145030
194,4387,145004
1381,5673,144985
1262,5525,144978
818,4563,144970
1717,6000,144916
1527,5671,144891
1257,5549,144882
1095,5712,144837
860,5011,144802
941,5140,144672
1535,5628,144639
1339,5633,144635
922,5101,144586
1561,5633,144564
443,6704,144556
1541,5520,144519
475,4808,144441
1103,5726,144394
1767,5385,144390
1380,5655,144389
786,4672,144376
1572,5881,144367
1118,5892,144344
797,4829,144242
921,5223,144193
1512,5496,144146
1278,5518,143944
1540,5568,143925
820,4511,143856
1357,5388,143833
1530,5710,143823
1531,5769,143769
440,7035,143735
1123,5887,143684
1261,5615,143658
1539,5536,143603
480,5678,143528
1060,5625,143497
1101,5577,143489
2280,5592,143449
636,5731,143427
1085,5615,143423
448,5877,143410
932,5074,143395
1537,5539,143325
1237,5487,143279
1098,5338,143184
