"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","1100","1064.914976837","21080","3.68","1","2","5","3.353","0.789379863","44883","1052.0","1257","40","309","5.082","44883","11914","223786","27.31","5.15","1.0 - 1.1 s","0.46966557493928657","0.44652081699818036","5"
"article","Desktop","0","1200","1096.875315389","23253","3.586","1","2","5","3.278","0.78496265","49009","1152.0","1376","39","301","4.98","49009","13469","239186","28.28","5.02","1.1 - 1.2 s","0.47446387398232975","0.44652081699818036","5"
"article","Desktop","0","1300","1121.17191897","24626","3.495","1","2","4","3.13","0.781063743","51644","1251.0","1286","38","289","4.797","51644","14686","242867","29.16","4.82","1.2 - 1.3 s","0.4768414530245527","0.44652081699818036","5"
"article","Desktop","0","1400","1167.560729643","25482","3.411","1","2","4","3.071","0.779169287","53136","1351.0","1259","38","288","4.707","53136","15356","245131","29.6","4.8","1.3 - 1.4 s","0.4795618789521229","0.44652081699818036","5"
"article","Desktop","0","1500","1217.766565661","25692","3.372","1","2","4","2.985","0.77737295","53655","1451.0","1326","37","282","4.6","53655","16023","241853","30.62","4.7","1.4 - 1.5 s","0.4788370142577579","0.44652081699818036","5"
"article","Desktop","0","1600","1263.138317959","25599","3.321","1","2","4","2.923","0.778766719","53908","1550.0","1318","37","274","4.5","53908","16596","237302","31.56","4.57","1.5 - 1.6 s","0.4748645841062551","0.44652081699818036","5"
"article","Desktop","0","1700","1304.553524199","25416","3.271","1","2","4","2.82","0.776518595","53615","1650.0","1303","37","267","4.371","53615","16901","229389","32.31","4.45","1.6 - 1.7 s","0.4740464422269887","0.44652081699818036","5"
"article","Desktop","0","1800","1356.370633089","25153","3.234","1","2","4","2.765","0.776244299","53302","1750.0","1251","36","258","4.291","53302","17426","223754","33.48","4.3","1.7 - 1.8 s","0.4718959888934749","0.44652081699818036","5"
"article","Desktop","0","1900","1434.170455943","24039","3.177","1","2","4","2.674","0.778618468","51859","1850.0","1217","36","254","4.147","51859","17550","210421","34.66","4.23","1.8 - 1.9 s","0.4635453826722459","0.44652081699818036","5"
"article","Desktop","0","2000","1477.072069941","23422","3.114","1","2","4","2.657","0.776734472","50190","1950.0","1155","36","255","4.11","50190","16997","201896","34.66","4.25","1.9 - 2.0 s","0.4666666666666667","0.44652081699818036","5"
"article","Desktop","0","2100","1512.439274158","22653","3.147","1","2","4","2.613","0.774859911","48432","2050.0","1149","35","248","4.085","48432","16634","193442","35.18","4.13","2.0 - 2.1 s","0.4677279484638256","0.44652081699818036","5"
"article","Desktop","0","2200","1624.808716577","21654","3.064","1","2","4","2.57","0.776646097","46826","2150.0","1089","35","247","3.987","46826","16352","182633","35.75","4.12","2.1 - 2.2 s","0.4624353991372315","0.44652081699818036","5"
"article","Desktop","0","2300","1686.942738024","21069","2.979","1","2","3","2.476","0.776913189","45774","2250.0","1079","34","231","3.847","45774","16387","171748","36.66","3.85","2.2 - 2.3 s","0.4602831301612269","0.44652081699818036","5"
"article","Desktop","0","2400","1749.903903394","20170","2.967","1","2","3","2.403","0.776927064","44184","2350.0","1005","34","227","3.757","44184","16300","162465","37.75","3.78","2.3 - 2.4 s","0.4565000905305088","0.44652081699818036","5"
"article","Desktop","0","2500","1796.865563933","19747","2.913","1","1","3","2.347","0.7773982","43558","2450.0","960","34","224","3.667","43558","16387","156142","38.47","3.73","2.4 - 2.5 s","0.45334955691262224","0.44652081699818036","5"
"article","Desktop","0","2600","1873.975320519","18890","2.861","1","1","3","2.323","0.779375546","41925","2551.0","963","33","219","3.612","41925","16125","147791","39.37","3.65","2.5 - 2.6 s","0.4505664877757901","0.44652081699818036","5"
"article","Desktop","0","2700","1939.438385288","18256","2.867","1","1","3","2.261","0.778403022","40926","2651.0","935","33","220","3.54","40926","16058","141637","40.15","3.67","2.6 - 2.7 s","0.4460734007721253","0.44652081699818036","5"
"article","Desktop","0","2800","2015.880258637","17498","2.802","1","1","3","2.23","0.78229196","39846","2750.0","846","32","205","3.461","39846","15878","134704","40.71","3.42","2.7 - 2.8 s","0.43914069166290215","0.44652081699818036","5"
"article","Desktop","0","2900","2066.171339061","17207","2.776","1","1","3","2.212","0.778879091","38651","2850.0","828","32","205","3.448","38651","15328","130157","40.53","3.42","2.8 - 2.9 s","0.4451889989909705","0.44652081699818036","5"
"article","Desktop","0","3000","2123.398658256","16536","2.755","1","1","3","2.189","0.780168057","37420","2950.0","806","32","202","3.407","37420","15052","124629","41.11","3.37","2.9 - 3.0 s","0.4419027258150722","0.44652081699818036","5"
"article","Desktop","0","3100","2239.483952996","15974","2.713","1","1","3","2.097","0.779221748","36381","3051.0","749","31","189","3.289","36381","14889","116980","41.79","3.15","3.0 - 3.1 s","0.43907534152442207","0.44652081699818036","5"
"article","Desktop","0","3200","2264.141190433","15468","2.659","1","1","3","2.124","0.779645271","35025","3150.0","720","32","195","3.298","35025","14270","112921","41.6","3.25","3.1 - 3.2 s","0.441627408993576","0.44652081699818036","5"
"article","Desktop","0","3300","2345.458324724","14971","2.635","1","1","3","2.075","0.779018048","34046","3250.0","703","32","197","3.234","34046","13895","107614","41.67","3.28","3.2 - 3.3 s","0.439728602478999","0.44652081699818036","5"
"article","Desktop","0","3400","2432.415051768","14621","2.6","1","1","3","2.076","0.777996423","33123","3349.0","669","31","191","3.224","33123","13591","104270","41.88","3.18","3.3 - 3.4 s","0.44141533073695016","0.44652081699818036","5"
"article","Desktop","0","3500","2554.727550038","14166","2.557","1","1","3","2.04","0.773249225","31529","3450.0","670","31","186","3.189","31529","12842","98036","41.62","3.1","3.4 - 3.5 s","0.4493006438516921","0.44652081699818036","5"
"article","Desktop","0","3600","2554.520385106","13373","2.61","1","1","3","2.028","0.777664837","30468","3550.0","611","30","183","3.174","30468","12688","94595","42.5","3.05","3.5 - 3.6 s","0.43891952212157015","0.44652081699818036","5"
"article","Desktop","0","3700","2587.350209902","12748","2.584","1","1","3","2.039","0.775759389","28666","3650.0","547","31","187","3.189","28666","11823","89270","42.05","3.12","3.6 - 3.7 s","0.4447080164654992","0.44652081699818036","5"
"article","Desktop","0","3800","2667.886063476","12143","2.546","1","1","3","2.002","0.776624951","27590","3750.0","541","31","186","3.123","27590","11399","84224","42.14","3.1","3.7 - 3.8 s","0.44012323305545487","0.44652081699818036","5"
