DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Mobile,2920,3824.000,1196212
Mobile,2460,4313.000,1195870
Mobile,3490,2948.000,1191933
Desktop,450,1825.000,1191014
Desktop,300,1444.000,1188682
Mobile,3620,3005.000,1188436
Mobile,3520,3242.000,1181963
Mobile,3680,2764.000,1179554
Mobile,2490,4295.000,1179407
Mobile,2770,4073.000,1178583
Mobile,2500,4210.000,1175213
Mobile,2850,4002.000,1173118
Desktop,2670,3656.000,1169482
Mobile,3570,2921.000,1164620
Desktop,420,2523.000,1164445
Mobile,2780,4075.000,1163127
Desktop,2640,3536.000,1163040
Desktop,2650,3556.000,1160091
Desktop,2660,3626.000,1159664
Mobile,3140,2901.000,1158917
Desktop,60,1996.000,1152882
Mobile,3630,2971.000,1152495
Mobile,3510,3176.000,1151034
Desktop,2720,3625.000,1148764
Desktop,2620,3602.000,1143266
Desktop,2630,3597.000,1143161
Mobile,3500,3298.000,1138605
Mobile,2930,3817.000,1136715
Desktop,400,2336.000,1132724
Mobile,3640,2994.000,1127743
Mobile,2860,4042.000,1122835
Mobile,3130,2881.000,1120784
Mobile,2800,4068.000,1110512
Mobile,3220,2778.000,1109473
Mobile,3280,3309.000,1105827
Mobile,3180,3089.000,1101311
Mobile,3290,3701.000,1100217
Desktop,2850,3238.000,1100154
Desktop,2730,3682.000,1099449
Mobile,2880,4014.000,1095464
Mobile,2870,4061.000,1094129
Desktop,2740,3672.000,1089951
Desktop,460,1812.000,1088067
Mobile,2820,4139.000,1087820
Mobile,5600,3722.000,1084480
Desktop,2880,3140.000,1076023
Mobile,2840,4175.000,1074434
Mobile,3300,3561.000,1074132
Mobile,2830,4142.000,1072128
Mobile,160,2760.000,1069819
Desktop,220,2747.000,1065096
Desktop,2840,3510.000,1057904
Desktop,2890,3262.000,1057063
Mobile,3960,3054.000,1054609
Desktop,100,500.000,1050265
Mobile,3100,3260.000,1045492
Desktop,390,1898.000,1043208
Mobile,3050,3318.000,1042551
Mobile,90,2619.000,1040801
Mobile,3090,3279.000,1037676
Mobile,5590,3659.000,1023804
Mobile,3270,3434.000,1020741
Desktop,240,1501.000,1019364
Desktop,120,1498.000,1017407
Desktop,10,692.000,1014034
Desktop,2750,3602.000,1012571
Desktop,2870,3439.000,1006344
Mobile,3470,3393.000,1002773
Mobile,3460,3321.000,997327
Mobile,5610,4057.000,992969
Mobile,3480,3229.000,984549
Desktop,2760,3573.000,970682
Desktop,2810,3552.000,970646
Mobile,3310,3736.000,965381
Mobile,3350,3754.000,965200
Desktop,320,1904.000,955342
Desktop,2950,3511.000,954439
Desktop,2900,3585.000,948338
Mobile,3970,3014.000,947613
Desktop,2770,3563.000,939732
Mobile,3420,3622.000,937914
Desktop,2800,3597.000,937856
Desktop,2980,3576.000,925874
Desktop,3340,3987.000,925686
Desktop,80,1261.000,917617
Desktop,2780,3557.000,916982
Desktop,330,1503.000,913995
Desktop,2830,3645.000,911563
Desktop,130,1500.000,911098
Mobile,3440,3563.000,910013
Desktop,2970,3738.000,909841
Mobile,3410,3614.000,907402
Desktop,3220,3542.000,906904
Desktop,2940,3744.000,900493
Desktop,2790,3550.000,899110
Desktop,2820,3615.000,897879
Mobile,3340,3817.000,897024
Desktop,50,921.000,888712
