DEVICETYPENAME,JS_SIZE,TTI,FREQ
Mobile,1050000,8230.000,57043
Desktop,1310000,5689.000,56680
Mobile,1170000,10264.000,56408
Desktop,1260000,5421.000,56106
Desktop,1120000,7697.000,55777
Mobile,930000,9731.000,55353
Desktop,1250000,5675.000,54738
Desktop,1300000,5798.000,54577
Tablet,360000,12043.500,54436
Tablet,380000,12642.000,54350
Tablet,390000,12720.000,53565
Mobile,1130000,9470.000,52994
Tablet,370000,12657.000,51321
Mobile,1250000,8978.000,50873
Desktop,1160000,7767.000,49734
Mobile,1150000,9423.000,48914
Tablet,400000,11943.000,48688
Mobile,1970000,14020.000,48181
Tablet,430000,10424.000,48176
Mobile,1040000,9423.000,47357
Mobile,1960000,12813.000,46959
Tablet,420000,9567.000,45969
Desktop,1130000,7331.000,45654
Mobile,1300000,10476.500,44570
Mobile,1180000,8778.000,43616
Desktop,1430000,4661.000,41441
Tablet,410000,11769.000,41409
Desktop,1320000,6740.500,41082
Mobile,1840000,8429.000,40418
Mobile,1160000,8900.500,39702
Mobile,1010000,7898.000,38937
Mobile,1850000,9137.500,38420
Mobile,1330000,12379.000,38129
Tablet,440000,12465.000,36811
Desktop,1230000,8362.000,36325
Desktop,1210000,8393.000,36225
Tablet,460000,12362.000,35631
Mobile,1950000,11937.500,35096
Tablet,500000,10358.000,34015
Mobile,1120000,8525.500,33282
Tablet,600000,14148.000,32586
Desktop,1190000,7357.500,31812
Desktop,1440000,4687.000,31421
Tablet,720000,15676.000,30666
Mobile,1270000,9893.000,30013
Desktop,1270000,6656.000,29670
Desktop,1840000,6485.000,29449
Tablet,450000,12734.000,29313
Tablet,570000,15699.000,29254
Desktop,1280000,6779.000,28740
Mobile,1920000,11708.000,28606
Tablet,740000,15346.000,28234
Mobile,1200000,8349.000,27889
Tablet,560000,15444.000,27841
Tablet,670000,10905.000,27676
Mobile,1830000,7416.000,27638
Tablet,620000,15742.000,27423
Desktop,1850000,6587.000,27388
Tablet,630000,20039.000,26881
Mobile,1940000,10630.500,26520
Desktop,1200000,7262.000,26092
Tablet,590000,16132.000,25668
Tablet,510000,11927.500,25284
Tablet,530000,11895.500,24778
Mobile,1230000,7624.000,24703
Tablet,610000,17225.000,24505
Tablet,660000,14891.000,23889
Tablet,490000,12444.000,23813
Tablet,580000,17374.000,23665
Tablet,550000,13200.000,23625
Mobile,1350000,14182.500,23146
Mobile,1980000,14327.000,22919
Tablet,470000,12596.000,22773
Tablet,480000,12107.000,22488
Desktop,1220000,7536.000,22228
Mobile,1210000,9127.000,21627
Tablet,730000,16140.000,21539
Tablet,640000,19257.000,21044
Tablet,520000,13259.500,21030
Tablet,540000,13811.000,20347
Mobile,1290000,7306.000,19922
Tablet,690000,16559.000,19739
Desktop,1410000,5161.500,19648
Desktop,1290000,5135.000,19489
Tablet,650000,19542.000,19429
Mobile,1310000,8360.000,19281
Mobile,1340000,10481.000,18883
Mobile,1280000,11496.000,18751
Desktop,1330000,7571.000,18495
Desktop,2640000,11578.000,18198
Desktop,1960000,7996.000,18172
Desktop,2360000,4889.500,17982
Mobile,1190000,9475.000,17525
Tablet,790000,18378.000,17373
Tablet,700000,17496.000,17290
Tablet,680000,15843.500,17160
Mobile,1900000,11592.000,16989
Tablet,750000,19487.000,16661
Mobile,1860000,10862.000,16133
Mobile,1990000,15285.000,15978
Desktop,1830000,5272.000,15917
Mobile,1510000,8846.000,15302
Mobile,1550000,6278.000,15241
Desktop,1340000,6641.500,15226
Desktop,1860000,7347.000,14608
Tablet,770000,15304.000,14234
Tablet,760000,17891.500,13988
Tablet,810000,19254.000,13574
Desktop,1780000,6761.500,13176
Mobile,1500000,10164.000,12967
Desktop,1950000,8056.000,12864
Desktop,1460000,4628.000,12789
Desktop,1940000,7572.000,12548
Mobile,1220000,9084.000,12504
Desktop,1920000,9016.000,12331
Mobile,1930000,10529.500,12308
Tablet,780000,16517.000,12245
Desktop,1970000,8607.000,12220
Desktop,1900000,5085.000,12034
Mobile,1590000,7347.000,11853
Mobile,2640000,21423.000,11762
Desktop,1420000,5737.500,11622
Mobile,1910000,11957.500,11232
Desktop,1590000,4406.000,11191
Tablet,800000,18037.000,10977
Mobile,1780000,9332.500,10934
Desktop,1470000,4669.000,10761
Desktop,1770000,6143.500,10562
Desktop,1450000,4664.000,10287
Mobile,1790000,10154.000,9991
Desktop,1400000,5509.000,9906
Desktop,2760000,11156.000,9885
Desktop,1390000,5506.000,9809
Desktop,2370000,5069.000,9790
Tablet,830000,19567.000,9711
Tablet,880000,15127.000,9663
Mobile,2000000,14918.500,9558
Desktop,1370000,5120.000,9502
Tablet,850000,16748.000,9490
Desktop,1880000,6965.000,9456
Mobile,1530000,8823.500,8980
Desktop,1520000,6474.500,8980
Desktop,2870000,10204.500,8972
Tablet,820000,17452.000,8917
Desktop,1350000,7221.000,8840
Mobile,1890000,12065.000,8677
Tablet,900000,18246.000,8578
Desktop,1870000,6326.500,8522
Mobile,1420000,11176.500,8386
Mobile,1400000,11790.000,8373
Desktop,1910000,5159.000,8261
Desktop,1550000,5071.000,8243
Desktop,1760000,5806.000,7992
Mobile,1430000,10861.000,7911
Desktop,1480000,4609.000,7856
Desktop,1890000,7302.000,7833
Mobile,2760000,18854.000,7796
Desktop,1790000,6685.000,7779
Tablet,840000,20585.500,7758
Desktop,1530000,5959.500,7686
Mobile,2740000,21094.000,7683
Tablet,860000,17646.000,7598
Desktop,1980000,9340.500,7492
Desktop,1380000,6115.000,7470
Tablet,870000,16644.000,7312
Tablet,940000,8906.000,7301
Mobile,1490000,6833.000,7295
