TTI,IMAGES,FREQ
3015,68.467797,55958
3578,68.282638,55955
3460,68.875311,55955
3398,68.744326,55954
3057,68.311559,55954
3175,69.495005,55951
3488,68.116769,55948
3035,68.452392,55947
3468,68.965002,55946
3345,68.637257,55946
3068,67.371490,55945
3014,68.618319,55942
3541,68.930891,55941
3009,67.604862,55940
3219,68.373199,55938
3323,68.419972,55937
3059,69.330681,55936
3110,68.162671,55935
3327,68.266899,55935
3243,68.782986,55932
3224,67.752052,55931
3418,68.854619,55929
2971,67.783847,55928
3113,67.950561,55928
3027,68.227676,55926
2918,68.043845,55924
3347,68.217152,55924
2988,68.669707,55917
2930,67.760431,55917
2973,69.272440,55917
2894,67.518063,55916
3008,68.731253,55915
3502,68.879154,55914
2962,67.737007,55914
3038,67.479815,55909
3246,67.664431,55908
3159,68.234765,55907
3426,69.532547,55903
3409,68.445182,55903
3407,68.836374,55902
3551,69.079787,55899
3518,68.300775,55899
3328,68.000519,55898
3548,68.610176,55897
3483,68.430363,55897
3198,67.957064,55897
3463,69.078167,55893
2976,67.782831,55892
2964,69.362592,55892
3361,69.753574,55891
3105,69.345518,55890
3564,68.835409,55890
2900,67.907905,55888
3449,69.327858,55887
3378,67.330542,55887
3451,68.424747,55885
3004,67.935116,55884
2925,68.859352,55884
3498,69.969060,55883
3091,68.918168,55883
3351,69.059377,55880
3413,68.126038,55880
3369,69.053812,55880
3388,68.754725,55876
3524,68.857324,55875
3486,67.918634,55871
3258,68.981421,55869
3428,68.874293,55868
3130,68.640186,55865
2981,68.176894,55864
2977,68.392238,55864
3387,68.733048,55864
3142,68.614107,55860
3095,67.826829,55858
3485,68.722181,55853
3033,68.831376,55852
3406,67.974432,55852
3377,68.405901,55851
2985,67.828326,55850
3146,68.370392,55849
3430,68.200090,55845
3072,68.375772,55845
3389,68.848954,55844
2800,67.562408,55842
2920,67.602192,55841
3392,68.288037,55840
3411,68.153309,55835
3177,69.009476,55828
3423,69.171067,55826
2974,68.168082,55824
2911,68.053257,55824
2947,67.890939,55822
3466,68.631250,55821
3436,68.105122,55821
3101,68.460403,55812
3571,68.689099,55812
3259,68.582412,55811
3012,68.745709,55810
3461,68.442716,55810
3525,68.434356,55809
3682,69.219238,55807
3305,68.262642,55806
3503,68.552979,55805
3356,68.714562,55802
3071,68.140287,55800
3494,68.162422,55799
3472,69.171356,55796
3569,68.531625,55795
3473,69.297690,55793
3229,68.970749,55793
3424,69.360392,55792
2951,68.631607,55791
2901,68.273682,55791
3341,69.193525,55781
3533,68.040516,55781
2955,68.430467,55779
3417,68.858152,55778
3496,68.285881,55775
3455,68.567947,55771
3452,68.984936,55763
3521,67.993095,55760
3487,68.847651,55760
