IMAGE_SIZE,TTI,FREQ
39558,6689.198004,75342
129881,8027.594822,75004
1004,9441.382343,74441
170,6083.536160,74185
15783,5755.114864,73713
19363,6301.791189,73703
341694,6666.040644,72581
28865,8971.380444,72447
1088,13328.400356,71841
28828,6740.003617,70769
17544,3783.538682,70589
3421,5472.887111,70556
36764,11403.460305,70160
23631,11519.779189,69838
55109,2261.878669,69801
46051,4191.672072,69378
337,6038.183967,69257
602627,4322.368724,69076
567702,11974.434024,68798
142053,3148.536002,66455
3463,5861.263854,65521
498442,5088.787436,65491
34722,8593.496564,64024
3231289,5690.190741,63552
577220,6606.158606,63516
41343,8644.084536,62991
29051,6631.963535,62965
260590,12654.159786,62158
51688,4462.990941,61924
247820,2794.624973,61009
652793,12589.818224,60107
133031,8440.431022,59809
2923,12368.723915,59804
26373,8848.414699,59390
74732,6391.562011,58901
304439,8257.761739,58587
370870,4389.764683,58283
51512,4493.401872,57364
35936,6361.342562,56816
540190,8758.758375,56567
4770,7010.869906,56321
42842,10815.476916,56251
29852,11954.138635,56198
545449,7720.717202,55987
54442,4051.483628,55950
5686,8146.296783,55913
6816,13040.872987,55884
7940,10657.993411,55698
51880,9796.481181,55291
29094,6750.162843,55231
37591,18571.218725,55092
4885,4538.793117,54746
105351,7238.897883,54741
2415,13342.106619,54690
174721,4448.497761,54490
58188,3150.631133,54483
90094,4474.247429,54460
28871,6899.967528,54447
9173295,8151.674522,54443
67502,4926.085480,54305
630,31880.937280,54193
42470,12963.924175,54006
1099519,5529.915649,53894
1276,7633.949421,53718
756,16093.383577,53658
3435,6397.748358,53425
4592,8171.546057,53423
7614,6966.519873,53340
108976,3904.457463,53165
176171,5959.346931,52705
402,6614.423743,52638
19406,6559.640102,52476
306125,4429.234145,52301
46774,7036.342231,52187
408632,3281.643353,52116
798,14483.119510,51644
130276,7448.447663,51436
13240,20074.858985,50789
3124,3831.366115,50730
1025,4743.557438,50576
45830,2615.038479,50573
1493154,3677.911295,50448
127767,11157.693611,50351
56074,5765.116953,50234
91844,6591.712350,50179
12204,6207.345591,50091
57236,4556.004213,50088
132989,8548.225992,49661
1861,9108.789414,49481
25527,5891.449540,49306
3984,19138.303820,49289
11214,9503.990862,49027
361363,5278.262298,48990
669703,12803.669272,48741
6720,9425.426026,48720
50318,9780.825606,47989
84305,2671.702555,47787
36128,2648.716854,47781
2151263,8182.668514,47444
64443,7561.537064,47324
535,6268.002962,47263
5700,10753.357138,47231
727802,6282.526945,47170
7056,8572.313010,47139
58944,7453.755261,46756
65893,6541.818618,46708
211,14926.586736,46699
11298,9088.809024,46655
16302,4478.057148,46633
7091,8821.352038,46478
2553,14345.752661,46406
12440,2741.409190,46399
68616,3921.997062,46288
196566,2507.477437,46094
4286,11695.404278,46045
1898184,4519.630531,45652
25395,6669.468440,45643
541623,8537.322927,45583
51800,4317.549431,45427
272540,3696.501278,45386
21950,9230.192457,45101
91472,3238.001623,44984
83559,13884.618485,44761
60942,8297.623945,44326
109200,1134.911177,44110
12354,9397.290036,43967
3714,6763.079205,43848
412411,4764.430085,43710
111847,2730.883101,43653
24424,12474.362362,43520
3709,9968.716254,43049
48458,26047.501289,43041
15172,34255.841901,42973
176,45255.751385,42773
478340,4534.456441,42529
3143,11167.560697,42226
15262,15650.684969,42199
14139,4328.820120,41889
3168,2832.140950,41490
127725,21211.803001,41381
400064,5214.087716,41087
83818,6243.063602,40738
6062,7533.566839,40680
256667,12427.774387,40636
35197,2344.251252,40549
638535,4475.665232,40437
14870,5225.228154,40363
82553,7587.154756,40328
1130,15444.602819,40226
16693,9780.232965,40139
811596,5875.731459,40046
130108,7654.754150,40004
65536,11367.863206,39936
24262,6813.304886,39933
107186,6606.089822,39901
105393,7385.956603,39749
54082,6603.359592,39656
658689,4881.609431,39591
58870,4624.953846,39325
3491,6233.039310,39227
129815,6272.398856,38811
4866,5092.413913,38769
3024,2486.017657,38625
4349,7097.064567,38580
135828,9424.975215,38572
103235,6631.732647,38466
6805735,17071.139907,38447
7089,12873.893405,38360
3774,16932.371510,38357
55068,2336.653802,38114
9077,9250.510860,38075
44562,5782.537981,37966
277983,7413.394952,37959
11159039,5539.791943,37956
369015,4382.908767,37607
429109,5141.704704,37288
129923,10366.580726,37262
157885,5411.981229,36919
13549,4921.155069,36803
3082,2783.024100,36764
714,24983.277891,36356
93289,9058.001791,36284
15568,4436.600807,36163
2775,5978.249751,36156
42235,11907.904105,36154
440488,13114.697310,36093
672,29385.820568,35891
2965,12848.284650,35823
4290113,19767.788154,35809
2811,1802.440249,35757
37268,3423.652818,35624
650861,12952.052786,35540
6914,2272.345617,35441
13282,18417.780700,35244
11286,7787.291379,35229
48595,3643.955427,35044
36453,8593.689105,34851
5582,3424.342144,34807
16945,12630.389055,34792
2881,14207.890220,34569
31689,8885.147825,34392
5472,7452.269295,34271
5295,64882.232694,34251
137236,3597.619931,34178
1100627,6528.972496,34177
11283,7827.092117,33946
385242,5970.361296,33831
60560,9645.758602,33770
7029,3153.208578,33762
293800,7069.366621,33626
11123,6561.965682,33394
4159,5346.831781,33385
283096,3986.717316,33189
46009,3616.480076,33076
85091,14291.381703,32782
1196885,16709.289879,32724
167945,6661.749916,32661
263973,7369.662054,32449
3452,25758.605394,32445
43564,6463.801218,32342
8062230,5253.652140,32332
38680,9720.097112,32097
488390,3086.261740,32070
127809,9897.739265,32044
121,6044.148688,31926
40651,10387.727583,31896
145346,4659.806835,31895
548667,8849.911144,31883
4917,9729.729439,31808
3908696,3959.667821,31763
60518,6916.309620,31726
12519,3722.826105,31703
41551,10384.961154,31535
72006,4215.304018,31508
5230,4146.260472,31489
33939,9156.116086,31425
76796,5882.227809,31364
696320,6503.552852,31361
38682,9805.112812,31353
29470,4929.685037,31210
128849,11025.518640,31197
200304,5083.442797,31161
454255,4362.272316,31133
83517,12834.904908,30928
14107,3698.068255,30884
204,7146.135234,30865
61322,7636.866795,30697
4667,2514.515086,30624
20660,5620.721218,30583
130763,8960.347758,30527
10637,1028.711249,30483
647233,4930.843106,30409
51459,7920.511003,30174
178353,4432.225348,30069
15097,6000.050883,29951
638605,9345.826155,29929
539002,8027.912634,29920
19228,6169.739170,29709
4126714,5378.198419,29594
416064,6009.769909,29584
717274,3533.426273,29528
58146,3170.936750,29518
2395630,4059.872569,29365
7435,12788.997918,29298
2363993,7281.638488,29277
10989,6965.115524,29258
62394,5213.365694,29161
346593,6773.165117,29155
128,17972.661515,29115
1345,7998.446022,29086
116675,4507.202257,29062
67676,3234.398160,29026
4289976,13967.538390,28992
85049,12880.007003,28987
762367,5988.762961,28759
35000,11942.329658,28751
8452,12482.074572,28724
12016,7820.065108,28399
22483,3470.080276,28377
12284,5262.609750,28369
38701,6697.480998,28260
8615809,9448.794823,28122
19449,6293.887636,28105
1036290,4239.177109,28090
133073,8930.021581,28080
45744,3083.992326,27887
25573,8878.327511,27825
425639,5911.791628,27806
13532,2774.938346,27784
196841,5261.741644,27764
303345,7337.996360,27747
157,6934.652235,27717
64781,10332.650343,27527
8108,12631.642042,27520
137488,23509.364484,27469
357980,5138.158430,27356
141375,4528.921190,27319
24018,3727.352430,27265
540127,8632.559428,27117
109679,12818.529114,27049
1038420,10347.393378,27030
337353,5818.894250,27007
353399,6148.888555,26955
109744,871.041402,26931
2809,2587.691727,26736
546829,8781.974333,26727
46047,6266.720217,26710
26272,6473.442939,26577
167430,5213.123029,26506
6805598,11738.416956,26480
2300,6587.983247,26384
36,8500.703173,26379
38683,9878.442544,26316
100346,2572.365820,26308
3928,6352.744148,26230
69816,5321.529270,26221
37747,10592.657682,26192
545561,10332.846248,26068
1912591,4077.862933,25980
6201,55827.137137,25974
11051207,4545.904946,25901
51860,5070.315787,25894
8954,4600.585211,25789
15303,6992.104312,25673
168566,14541.503537,25587
1150060,5208.931431,25580
545255,6988.524672,25576
4980,6795.562830,25537
198727,6066.262700,25512
667771,13828.277043,25321
174763,4560.570283,25312
419652,4681.748045,25187
542634,6370.547067,25145
41091,3321.080879,25124
554338,6265.196146,25119
22443,6033.893642,25057
60302,7837.132582,25026
14130,6539.699940,25025
11159081,6003.684892,25020
42884,6528.203871,25006
346928,5651.151892,24873
61338,7683.546726,24815
37182,4708.406135,24743
67519,5127.044721,24731
5658,8920.320190,24651
38679,9683.521621,24629
2407102,3686.635451,24614
26591,3613.941188,24519
80659,1264.454219,24508
1345217,3656.885441,24494
53525,6863.248070,24481
928550,6210.398104,24471
275208,4752.937191,24439
45725,6162.854399,24368
15086,21884.576713,24331
5724,7267.719753,24325
18186,7440.561533,24239
67564,3665.991825,24221
149569,6380.537055,24167
18926,8805.520050,24165
1047416,7189.240208,24075
3494,19709.944317,24065
44687,8670.913453,24010
41967,7378.534867,23991
1406,3633.504506,23855
3731,3982.397116,23852
8048,9850.466367,23801
23676,4535.388704,23779
3765,9558.052762,23748
251424,11829.953637,23661
19749,5771.799983,23653
8160,5616.638410,23629
8129693,6539.614269,23576
3548,12277.760626,23432
933154,4599.718985,23376
44645,7113.418434,23337
10600,5881.608634,23280
295230,7654.991784,23246
354934,5677.762540,23246
12051,3037.220004,23245
638578,4761.422173,23244
131806,3304.672853,23225
361321,4941.547193,23213
6880,6450.825778,23183
53932,4738.025869,23155
370021,4424.103194,23015
18887,7112.603259,23010
1730765,11439.255020,23010
18461,10415.477399,23008
4444,4646.205312,23004
68728,3480.544304,22989
837526,5668.308208,22965
73150,6072.934368,22931
19567,10235.713862,22905
683656,5584.803809,22896
57900,6881.025994,22890
12054,8780.275947,22845
930,8192.148286,22841
135870,9941.519108,22818
37704,7149.664342,22797
2732,4306.735978,22786
37702,7204.004703,22753
72,11331.935589,22698
45672,10488.949175,22666
132,43241.971365,22630
227738,5072.554695,22589
687769,6025.244265,22582
77104,11409.583152,22519
46409,6691.256608,22474
178338,6319.962205,22463
16205,11627.947157,22368
135786,9013.542469,22287
386934,4424.166397,22260
143896,5417.413159,22236
825718,6272.851648,22204
102501,5089.232409,22142
166773,12168.551896,22102
3410,25205.791417,21857
1053614,4497.892656,21855
105435,7617.038690,21840
66303,7443.790640,21838
12170,6092.259848,21832
4245,4949.020758,21823
888,5548.769026,21760
37705,8498.452089,21759
93820,1788.972870,21600
2026968,6964.990540,21565
61201,992.098849,21548
140096,8486.406015,21445
83601,16734.925196,21416
30254,5944.655722,21410
5164,2265.084082,21372
257546,2818.624315,21345
51422,3515.557699,21309
914089,5928.765258,21300
1322338,8071.572559,21238
617149,9198.202910,21236
1674,12482.125189,21216
384120,11106.273735,21203
338021,9415.703535,21129
282640,10501.440794,21121
48168,5221.950412,21114
595299,7229.614326,21067
23794,5896.483593,21028
38678,9782.073029,21019
50786,7986.451370,21016
983448,9338.325494,21005
297427,4044.596905,21000
59265,8820.394282,20985
347889,4018.355490,20957
15306,6704.818674,20852
20592,5425.896910,20778
1330245,3282.314062,20722
69498,3608.238526,20656
115793,4605.366756,20635
7425,10950.568722,20583
1499,7698.644888,20540
53968,8075.974450,20509
872576,5190.036562,20486
60616,7897.145571,20478
365026,9948.202169,20468
130318,8153.537919,20399
1172,15368.786373,20372
1612,2124.106969,20305
15218,37682.291385,20255
9243,1990.266584,20230
140632,4637.989516,20222
657134,9476.560972,20206
338461,6469.010006,20188
168071,5027.314086,20176
379793,4632.092064,20149
26774,9107.635573,20111
478064,9185.550172,20101
6506,2548.951863,20047
182790,8164.825187,19947
984754,9177.550416,19934
241,8804.645674,19880
391674,5266.729576,19854
8129777,5955.967986,19835
1109,10021.522899,19826
4133,12347.762782,19813
21657,5688.137489,19798
4334,8513.221580,19722
98452,22433.335229,19691
142328,3371.062722,19690
16626,5889.290314,19689
25842,5645.428361,19668
11350,6984.897895,19666
5882,7781.250903,19665
1450,6520.382248,19558
11937,8740.024546,19555
26864,4003.173884,19536
38684,9998.832941,19526
48053,2904.546135,19519
14202,6341.095707,19497
2918,8810.595589,19495
9982,6037.261970,19487
153176,8448.264667,19432
758756,8056.754900,19388
15136,12522.248617,19343
63319,5730.828271,19228
34283,39815.314899,19203
3360,9558.023500,19149
40526,8440.824365,19142
85007,11245.951181,19091
1274900,9278.968622,19058
2595,14665.896593,19051
1014,8230.655886,19046
2189790,12945.288897,18986
2900,4932.459155,18974
29365,3227.170729,18913
625968,7800.306126,18904
62609,3428.941442,18853
107895,7422.113589,18787
638621,4504.550341,18772
1663108,5196.126075,18727
294954,13007.132204,18721
25016,9502.425972,18682
13747,6650.769696,18671
7280,5259.998339,18661
1801464,4673.106748,18642
308220,6966.935766,18635
2071,5967.578280,18619
129731,11521.659843,18612
61179,6456.411344,18600
133504,4975.741619,18523
54474,7807.798019,18477
7406,2325.324417,18467
2201123,5611.765719,18465
42009,8509.011492,18448
183343,11750.733460,18425
12704,4390.675425,18421
9637,5453.535051,18402
3478,6539.250641,18333
79414,2110.263103,18278
87912,4100.241519,18247
348036,6346.895187,18223
18229,7544.912246,18210
1510824,6748.526869,18181
23048,10113.664023,18159
100753,9499.383813,18126
231991,2798.770565,18101
1275136,5901.861899,18023
6680,4746.016097,18016
88,126064.504445,17998
55889,8745.994711,17961
27481,2171.052892,17961
4390,8449.392216,17883
2448,3610.147556,17878
38677,10342.765820,17841
68327,3375.596552,17809
47399,7150.047911,17804
359,2529.906670,17797
30296,9692.118200,17758
2078345,48955.837444,17717
16074,9622.982998,17704
76488,3239.951168,17673
2409109,5388.719656,17664
2295970,5786.862342,17587
812704,6723.414841,17573
34397,5485.263874,17569
446759,4553.275326,17561
652835,14880.072317,17534
300987,6797.024763,17526
3855,10586.027228,17519
309357,7605.430595,17506
58068,7993.442240,17486
8073,9905.764972,17483
1064000,5336.778250,17425
213,6578.520301,17413
166283,14728.739461,17341
37701,7143.325271,17324
4127580,5492.160365,17323
303718,4743.488406,17293
264266,2762.502979,17287
649683,12196.942748,17257
6716,5031.776817,17228
60781,6287.148473,17222
162,11789.674844,17201
736756,7366.804398,17188
1911711,4040.242692,17174
65704,15125.848578,17164
34195,7978.783180,17134
244064,6794.446325,17131
3007,13650.334248,17128
240,8390.108553,17116
345135,6803.424712,17101
2347829,7237.374078,17082
52840,6646.008491,17077
35126,10926.185725,17009
85133,16526.788032,16979
17387,4947.301706,16937
84790,9909.125517,16922
38675,9811.001006,16901
15077,2996.502013,16890
