DEVICETYPENAME,DOMAINS,TTI,FREQ
Tablet,95,20413.000,2627
Desktop,113,10173.000,2497
Desktop,114,10118.000,2079
Tablet,96,21132.000,2043
Mobile,106,12056.000,1761
Desktop,115,10003.000,1647
Tablet,97,22171.000,1621
Desktop,116,9948.000,1301
Tablet,98,22860.000,1241
Mobile,107,11974.000,1173
Tablet,99,22766.000,1017
Desktop,117,10056.500,924
Mobile,108,12404.000,796
Tablet,100,22106.500,770
Desktop,118,10092.000,620
Tablet,101,22288.000,589
Mobile,109,12514.000,502
Desktop,119,9877.000,406
Tablet,102,22729.000,395
Mobile,110,12607.000,325
Tablet,103,22870.000,308
Desktop,120,11373.000,302
Mobile,111,12163.500,236
Tablet,104,20821.000,207
Desktop,121,11550.000,195
Mobile,112,13465.500,172
Tablet,105,22409.000,161
Mobile,113,12550.000,143
Tablet,106,22115.500,128
Desktop,122,10924.000,125
Mobile,114,12035.000,96
Desktop,123,10270.000,95
Mobile,115,12634.000,90
Tablet,107,22785.000,88
Mobile,116,11034.000,72
Mobile,117,11065.500,64
Tablet,108,24205.000,63
Desktop,124,9642.000,57
Tablet,109,22136.000,57
Tablet,110,20134.000,49
Tablet,111,22684.000,41
Desktop,126,9876.500,40
Desktop,125,10588.000,34
Mobile,118,9192.000,32
Tablet,112,21527.000,31
Desktop,127,15188.500,28
Tablet,114,16763.000,27
Tablet,113,20245.500,26
Mobile,119,13057.000,25
Mobile,120,11823.500,22
Desktop,128,9694.500,18
Tablet,115,20382.000,15
Desktop,129,17089.000,14
Desktop,130,16346.000,9
Mobile,121,9051.000,9
Mobile,122,9863.000,8
Tablet,116,14652.000,7
Desktop,133,21045.000,7
Tablet,117,24921.500,6
Tablet,119,19555.000,6
Desktop,132,19422.000,5
Mobile,124,10650.500,4
Tablet,118,35501.500,2
Desktop,139,45960.500,2
Tablet,120,36957.000,2
Desktop,152,14486.500,2
Mobile,123,14791.000,2
Desktop,131,15618.000,2
Mobile,127,99391.000,1
Desktop,159,7369.000,1
Desktop,137,21096.000,1
Desktop,140,95110.000,1
Desktop,145,12070.000,1
Desktop,144,34187.000,1
Desktop,138,7308.000,1
Tablet,121,43581.000,1
Desktop,148,8663.000,1
Desktop,142,12945.000,1
Desktop,136,66001.000,1
Mobile,126,24644.000,1
Desktop,134,20744.000,1
Tablet,122,17753.000,1
