DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Desktop,1820,10391.000,1706836
Desktop,1980,10311.000,1702326
Desktop,1830,10308.000,1699298
Mobile,2190,12532.000,1692240
Mobile,240,8932.000,1688811
Mobile,3810,6361.000,1688805
Mobile,3150,7374.000,1687849
Desktop,1790,10607.000,1686937
Mobile,2340,12904.000,1683793
Mobile,3800,6486.000,1682283
Mobile,2230,12809.000,1674920
Desktop,660,7109.000,1670982
Mobile,2260,12605.000,1668778
Desktop,1990,10245.000,1667899
Mobile,2160,12986.000,1665586
Mobile,3010,8937.000,1665401
Mobile,2140,11918.000,1665385
Mobile,2240,12648.000,1659503
Mobile,1940,12851.800,1651943
Desktop,520,6594.000,1651478
Mobile,1960,12915.000,1647632
Mobile,1950,13148.000,1639421
Mobile,2180,12757.000,1639395
Mobile,3820,6630.000,1639223
Desktop,670,6968.000,1637135
Desktop,2430,10526.000,1633393
Mobile,3260,7411.000,1626095
Mobile,2250,12692.000,1623922
Desktop,430,7352.000,1623559
Mobile,2010,13420.000,1622194
Desktop,490,9235.000,1616494
Mobile,2130,11931.000,1616444
Desktop,2010,10096.000,1610351
Desktop,700,6435.000,1609524
Mobile,2060,13646.000,1607276
Mobile,2100,13160.000,1607191
Desktop,590,5404.000,1606917
Mobile,2290,13119.000,1605183
Mobile,2350,13300.000,1605023
Desktop,2710,9357.000,1603631
Mobile,250,8607.000,1599366
Mobile,2040,13650.000,1598588
Desktop,250,4713.000,1598104
Desktop,530,6151.000,1594483
Mobile,3240,7146.000,1594258
Mobile,1980,13654.000,1588039
Mobile,2030,13966.000,1585630
Mobile,3830,6558.000,1580258
Desktop,2460,10691.000,1575671
Desktop,770,7525.000,1574492
Desktop,2580,10877.000,1572938
Mobile,1970,12871.000,1569670
Mobile,60,5775.000,1565245
Mobile,2320,13057.000,1561724
Desktop,2210,8807.000,1558601
Desktop,2560,10501.000,1553172
Desktop,2450,10619.000,1550016
Mobile,2110,12153.000,1549159
Mobile,2080,12095.000,1545516
Desktop,2000,10359.000,1544212
Desktop,630,7212.000,1544161
Mobile,3900,6868.000,1543190
Desktop,110,4866.000,1542983
Mobile,2970,8648.000,1542479
Mobile,3910,7458.000,1540736
Mobile,3740,6547.000,1538487
Desktop,570,5447.000,1538403
Desktop,2700,9812.000,1538108
Mobile,2170,12527.000,1535569
Mobile,2000,13423.000,1534345
Mobile,2070,12789.000,1529192
Desktop,690,7018.000,1528312
Desktop,2050,10176.000,1517167
Mobile,1990,12961.000,1516815
Mobile,2020,13687.699,1516744
Desktop,2290,9973.000,1515789
Mobile,2150,12342.000,1514748
Mobile,3840,6554.000,1512668
Mobile,2330,12679.000,1509127
Mobile,2300,13222.000,1507230
Mobile,2120,12395.000,1506338
Mobile,3030,8022.000,1504971
Desktop,550,6432.000,1498032
Mobile,2310,13022.000,1495703
Mobile,2360,12754.000,1494793
Desktop,360,4830.000,1494044
Desktop,30,4386.000,1492181
Desktop,440,5321.000,1491088
Mobile,2720,12829.000,1484401
Desktop,280,4985.000,1484382
Mobile,2090,12203.000,1481515
Mobile,80,5745.000,1479763
Desktop,2260,9878.000,1477424
Mobile,130,6176.000,1472775
Mobile,3720,6915.000,1472745
Mobile,2740,12778.000,1470631
Desktop,2420,10557.000,1470351
Desktop,260,5655.000,1470252
Desktop,2020,10411.800,1466763
Mobile,3190,7831.000,1460504
Mobile,2690,11870.000,1457330
Desktop,620,7852.000,1455239
Mobile,3730,6871.000,1451757
Desktop,2060,10071.000,1451714
Desktop,2030,10252.000,1450942
Mobile,140,9270.000,1450692
Mobile,2950,8992.000,1449226
Desktop,2410,10332.000,1443301
Mobile,2900,10234.000,1438480
Mobile,3850,6670.000,1437505
Desktop,340,5307.000,1436855
Desktop,2470,10866.000,1435533
Desktop,2040,10143.000,1430309
Mobile,2400,12502.000,1428453
Mobile,3040,7787.000,1428408
Mobile,3710,7280.000,1427922
Mobile,2390,12316.000,1426830
Mobile,2940,9451.000,1426031
Desktop,720,7128.000,1423502
Desktop,2520,9546.000,1420942
Mobile,2370,12360.000,1420783
Mobile,30,5451.000,1419971
Mobile,3020,8592.000,1417405
Mobile,3860,6852.000,1415290
Mobile,2380,12160.000,1411173
Desktop,2400,10399.000,1409469
Mobile,2590,13278.000,1401684
Desktop,760,7151.000,1400450
Mobile,2670,12035.000,1398960
Mobile,3870,7118.000,1393539
Desktop,2070,10044.000,1391633
Desktop,2220,9910.000,1390514
Mobile,3700,7338.000,1387897
Desktop,680,7806.000,1386760
Mobile,2600,12898.000,1384856
Mobile,2580,13198.000,1379676
Desktop,2360,9881.000,1379495
Desktop,2550,10102.000,1378304
Desktop,730,7384.000,1368772
Mobile,3080,8130.000,1366189
Mobile,2570,13164.000,1364307
Desktop,2530,9797.000,1358606
Desktop,2160,9799.000,1351807
Desktop,2080,10084.000,1351196
Mobile,3920,7389.000,1350916
Desktop,750,6849.000,1350548
Desktop,510,7091.000,1344564
Desktop,2370,9856.000,1341452
Mobile,2540,12395.000,1341322
Desktop,2340,9964.000,1332987
Desktop,2150,9956.000,1327603
Mobile,2560,13182.000,1326844
Mobile,2680,12067.000,1322708
Desktop,2140,9899.000,1321020
Desktop,2540,9942.000,1320900
Mobile,2730,13146.000,1319467
Desktop,2860,8062.000,1319351
Mobile,2410,12249.000,1318726
Mobile,3590,8210.000,1317588
Mobile,3690,7246.000,1316844
Desktop,2350,9908.000,1314157
Mobile,2650,12521.000,1313901
Mobile,2610,13273.000,1313810
Desktop,2130,10029.000,1311338
Mobile,2550,12798.000,1311011
Desktop,2480,10731.000,1308860
Mobile,2750,13695.000,1308003
Mobile,2760,12797.000,1296220
Desktop,740,7000.000,1296150
Desktop,310,6794.000,1295374
Desktop,2100,10212.000,1294995
Mobile,3120,8408.000,1294386
Desktop,2390,10237.699,1293854
Mobile,3580,8081.000,1291015
Desktop,2120,10055.000,1289216
Desktop,2110,10027.000,1285418
Desktop,2500,10345.000,1284676
Mobile,2510,12235.000,1284083
Mobile,3110,8522.000,1283424
Mobile,2530,12369.000,1283152
Desktop,2330,9817.000,1279832
Mobile,2890,11713.000,1278461
Mobile,3660,7624.000,1275114
Desktop,2090,10160.000,1273963
Desktop,2300,10089.000,1273037
Desktop,370,4619.000,1268238
Mobile,150,8157.000,1267246
Desktop,2240,10101.000,1266559
Desktop,2200,9939.000,1265131
Mobile,3940,7091.000,1264806
Mobile,3060,8602.000,1264236
Mobile,2640,12951.000,1263936
Desktop,2590,10410.000,1263910
Mobile,3540,8188.000,1263732
Mobile,2660,12374.000,1263411
Desktop,2380,10143.000,1263126
Desktop,2230,10030.000,1262637
Desktop,150,4701.000,1259535
Desktop,2190,9997.000,1258705
Desktop,2310,10020.000,1255489
Mobile,2420,12384.000,1254516
Mobile,2910,10450.000,1254227
Mobile,3890,6981.000,1253545
Mobile,2620,13400.000,1251938
Desktop,2610,9822.000,1251009
Mobile,2520,12219.000,1250085
Desktop,2490,10501.000,1249562
Mobile,3610,8119.000,1249028
Desktop,2320,9931.000,1245589
Mobile,2480,12515.000,1239861
Mobile,2630,13447.000,1238296
Mobile,3560,7957.000,1236808
Mobile,3930,7104.000,1236407
Desktop,2680,9850.000,1232509
Desktop,500,7838.000,1231442
Mobile,3600,8202.000,1226204
Desktop,410,6824.000,1225978
Mobile,2430,12260.000,1224329
Desktop,2250,10171.000,1222714
Desktop,2180,10035.000,1221384
Desktop,290,4876.000,1218904
Desktop,2170,9979.000,1216424
Mobile,3650,7856.000,1213939
Mobile,2440,12316.000,1212801
Mobile,3670,7606.000,1212303
Mobile,3550,8099.000,1212137
Mobile,3950,7420.000,1211640
Mobile,2470,12387.000,1207758
Desktop,2600,10065.000,1207301
Desktop,2690,9670.000,1204113
Mobile,2450,12432.000,1203352
Mobile,3230,8395.000,1200295
Mobile,3530,8741.000,1197993
Mobile,2790,11505.000,1197168
Mobile,2810,11112.000,1196645
Mobile,2920,10651.000,1196212
Mobile,2460,12445.000,1195870
Mobile,3490,8628.000,1191933
Desktop,450,5924.000,1191014
Desktop,300,5128.000,1188682
Mobile,3620,8004.000,1188436
Mobile,3520,8840.000,1181963
Mobile,3680,7417.000,1179554
Mobile,2490,12477.000,1179407
Mobile,2770,12324.000,1178583
Mobile,2500,12421.000,1175213
Mobile,2850,11385.000,1173118
Desktop,2670,9744.000,1169482
Mobile,3570,8240.000,1164620
Desktop,420,11211.000,1164445
Mobile,2780,11761.000,1163127
Desktop,2640,9782.000,1163040
Desktop,2650,9740.000,1160091
Desktop,2660,9925.000,1159664
Mobile,3140,8966.000,1158917
Desktop,60,7648.000,1152882
Mobile,3630,7902.000,1152495
Mobile,3510,8537.000,1151034
Desktop,2720,9684.000,1148764
Desktop,2620,10093.000,1143266
Desktop,2630,9938.000,1143161
Mobile,3500,8769.000,1138605
Mobile,2930,10855.000,1136715
Desktop,400,7950.000,1132724
Mobile,3640,7949.000,1127743
Mobile,2860,11692.000,1122835
Mobile,3130,9092.000,1120784
Mobile,2800,11471.000,1110512
Mobile,3220,8713.000,1109473
Mobile,3280,9156.000,1105827
Mobile,3180,9087.000,1101311
Mobile,3290,9968.000,1100217
Desktop,2850,8931.000,1100154
Desktop,2730,9839.000,1099449
Mobile,2880,11535.000,1095464
Mobile,2870,11712.000,1094129
Desktop,2740,9861.000,1089951
Desktop,460,6183.000,1088067
Mobile,2820,11497.000,1087820
Mobile,5600,12762.000,1084480
Desktop,2880,8868.000,1076023
Mobile,2840,11688.000,1074434
Mobile,3300,9712.000,1074132
Mobile,2830,11718.000,1072128
Mobile,160,8747.000,1069819
Desktop,220,7896.000,1065096
Desktop,2840,9548.000,1057904
Desktop,2890,8771.000,1057063
Mobile,3960,7250.000,1054609
Desktop,100,3453.000,1050265
Mobile,3100,9637.000,1045492
Desktop,390,7077.000,1043208
Mobile,3050,9242.000,1042551
Mobile,90,11468.000,1040801
Mobile,3090,9584.000,1037676
Mobile,5590,12644.000,1023804
Mobile,3270,9348.000,1020741
Desktop,240,5809.000,1019364
Desktop,120,4148.000,1017407
Desktop,10,2791.000,1014034
Desktop,2750,9811.000,1012571
Desktop,2870,9335.000,1006344
Mobile,3470,9444.000,1002773
Mobile,3460,9229.000,997327
Mobile,5610,13709.000,992969
Mobile,3480,8981.000,984549
Desktop,2760,9516.000,970682
Desktop,2810,9227.000,970646
Mobile,3310,9975.000,965381
Mobile,3350,10115.000,965200
Desktop,320,5669.000,955342
Desktop,2950,9178.000,954439
Desktop,2900,9248.300,948338
Mobile,3970,7379.000,947613
Desktop,2770,9461.000,939732
Mobile,3420,9689.000,937914
Desktop,2800,9578.000,937856
Desktop,2980,9616.000,925874
Desktop,3340,12285.000,925686
Desktop,80,4563.000,917617
Desktop,2780,9483.000,916982
Desktop,330,5089.000,913995
Desktop,2830,9819.000,911563
Desktop,130,4567.000,911098
Mobile,3440,9684.000,910013
Desktop,2970,9782.000,909841
Mobile,3410,9855.000,907402
Desktop,3220,9266.000,906904
Desktop,2940,9948.000,900493
Desktop,2790,9446.000,899110
Desktop,2820,9623.000,897879
Mobile,3340,10206.000,897024
Desktop,50,3640.000,888712
Mobile,3430,9657.700,886764
Desktop,3210,9476.000,885321
Desktop,2910,9318.000,883437
Desktop,2930,9308.000,881819
Mobile,3450,9652.000,881126
Desktop,2960,9710.000,878189
Mobile,3980,7365.000,878111
Desktop,2990,9672.000,871313
Desktop,4240,11755.000,870955
Desktop,4250,11724.000,869930
Mobile,4040,7406.000,869654
Desktop,3060,9703.000,861128
Desktop,4260,11754.000,856543
Desktop,2920,9228.000,853297
Desktop,4230,11694.000,852082
Mobile,3320,10143.000,851136
Desktop,3020,9614.000,847155
Mobile,3330,10370.000,840852
Desktop,3030,9649.000,831651
Desktop,4270,11720.000,829658
Mobile,5580,12966.000,828902
Mobile,5620,14077.000,827593
Desktop,3000,10017.000,826930
Desktop,3160,9766.000,825736
Desktop,3050,9746.000,823431
Desktop,3310,9710.000,823007
Desktop,3130,9703.000,822062
Desktop,170,4799.000,820016
Desktop,3070,9608.000,819370
Desktop,3330,9838.000,818878
Desktop,3010,10084.000,818701
Mobile,3360,10171.000,818450
Mobile,3400,9733.000,815806
Mobile,4020,7673.000,815682
Desktop,4170,11713.000,814535
Desktop,4280,11704.000,813071
Desktop,3230,9533.000,811060
Desktop,4220,11643.000,809763
Desktop,3240,9642.000,809253
Desktop,3120,9564.400,808267
Mobile,3370,10013.000,806431
Mobile,3380,10079.000,804919
Desktop,3040,9817.000,803704
Desktop,3140,9863.599,802405
Desktop,3200,9670.000,800132
Desktop,3250,10247.000,797532
Desktop,3350,10770.000,794718
Desktop,4160,11805.000,793625
Mobile,3990,7570.000,793367
Desktop,3390,20224.099,789010
Desktop,3090,9604.000,788738
Desktop,3170,9898.599,787375
Desktop,4210,11697.000,787087
Desktop,4180,11634.000,786417
Desktop,3320,9833.000,785607
Desktop,3150,9892.000,783312
Desktop,4200,11761.000,783309
Desktop,4290,11791.000,783054
Desktop,3080,9769.000,780852
Mobile,5570,12415.000,773050
Desktop,3110,9655.000,771124
Desktop,3190,9834.000,767500
Mobile,4070,7842.000,767389
Desktop,4190,11729.000,762463
Desktop,3260,9801.000,759128
Desktop,4300,11752.000,758901
Mobile,5630,13034.000,757180
Mobile,3390,10010.000,756482
Desktop,3300,9913.000,756278
Desktop,3100,9812.000,755084
Mobile,50,5827.000,753816
Desktop,4090,11366.000,752842
Desktop,4080,11559.000,750885
Mobile,4000,7973.000,750745
Mobile,4010,8219.000,748407
Desktop,3180,9941.000,748177
Desktop,4310,11818.000,747811
Desktop,3370,10686.000,746472
Desktop,4320,11840.400,743787
Desktop,4140,11684.000,740034
Desktop,4120,11546.000,736724
Desktop,3270,9934.000,736375
Desktop,4150,11737.000,736373
Desktop,4130,11734.000,734918
Mobile,110,6537.000,731741
Desktop,3360,10458.000,730213
Desktop,4100,11641.000,729773
Desktop,3380,12912.000,729407
Desktop,3580,10137.000,726632
Desktop,3440,10551.000,725461
Desktop,4110,11706.000,724857
Desktop,4330,11789.000,723365
Desktop,3430,10584.000,722251
Desktop,4070,11753.000,719751
Desktop,350,5570.000,718698
Desktop,3610,10102.000,717583
Desktop,3290,9991.000,715887
Mobile,40,8476.000,715872
Desktop,3280,9983.000,714635
Desktop,3420,10714.000,708598
Mobile,5560,11978.000,707279
Desktop,3510,10300.000,705268
Desktop,3570,10254.700,700334
Desktop,4060,11684.599,698935
Desktop,3520,10193.000,697174
Desktop,3470,10485.400,697057
Desktop,380,7304.000,696863
Desktop,3590,10275.000,695334
Desktop,3450,10489.000,694006
Desktop,140,5226.000,691671
Desktop,3620,10383.500,690396
Desktop,3410,10980.000,689392
Desktop,4000,12266.000,688957
Desktop,3560,10165.000,688704
Desktop,3460,10788.000,687260
Desktop,3530,10433.000,687141
Desktop,3500,10946.000,685659
Desktop,3600,10432.000,680358
Desktop,3400,10825.000,678219
Desktop,3550,10282.000,676587
Desktop,3540,10393.000,676561
Desktop,4340,11803.000,673390
Desktop,4050,12288.000,671144
Desktop,3480,10672.000,668761
Mobile,10,8867.000,668514
Desktop,3630,10442.000,660877
Desktop,3490,10414.000,659797
Mobile,5640,12120.000,658125
Desktop,3640,10421.000,653593
Desktop,4350,11910.000,641771
Desktop,4040,12568.000,640968
Desktop,3650,10585.000,639952
Mobile,5550,12124.000,634228
Desktop,4010,12665.000,633833
Desktop,4030,12302.000,633492
Desktop,4360,11856.000,628175
Desktop,4020,12752.000,611885
Desktop,3950,11565.000,611435
Desktop,3660,10802.000,609644
Tablet,850,9423.000,608465
Desktop,3960,11827.000,608402
Desktop,4370,12149.000,607478
Mobile,5540,11853.000,607415
Desktop,3940,11696.000,605322
Desktop,3990,12378.000,604480
Mobile,100,10030.099,601930
Desktop,4380,12955.000,599848
Desktop,3970,12157.099,590600
Desktop,3930,11661.000,589735
Desktop,3670,10955.000,589699
Desktop,4390,12329.000,588635
Desktop,3980,12320.000,580604
Desktop,3690,11996.000,577455
Desktop,3700,11556.000,574914
Desktop,3880,12927.600,573725
Desktop,4400,12356.000,570391
Desktop,3870,11759.000,569558
Desktop,40,5344.000,569386
