DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Mobile,12200,15850.000,524
Tablet,5200,9335.000,519
Tablet,5300,9467.500,516
Tablet,5400,9675.000,507
Desktop,12300,15221.500,506
Desktop,12000,14305.000,504
Tablet,5800,10349.000,503
Desktop,12500,15323.000,503
Mobile,12600,16429.000,501
Desktop,12400,14945.000,501
Desktop,12200,15023.000,499
Mobile,12800,16489.500,482
Desktop,12700,15070.000,481
Tablet,5500,9597.500,472
Mobile,13000,16686.000,470
Desktop,12600,15573.000,470
Mobile,12700,16602.000,469
Mobile,13100,16563.000,467
Mobile,13200,16931.000,463
Tablet,5700,10189.000,461
Mobile,12900,16204.500,442
Desktop,12900,15563.000,439
Desktop,13100,15370.000,435
Desktop,12800,14989.000,434
Tablet,5900,10223.000,431
Tablet,6000,10295.000,431
Mobile,13300,17105.000,430
Desktop,13000,15214.500,420
Tablet,6400,10448.000,413
Mobile,13600,17342.000,411
Desktop,13200,15868.500,408
Tablet,6200,10254.000,407
Mobile,13700,17419.000,403
Desktop,13400,15604.000,397
Desktop,13300,15733.500,392
Mobile,13500,16912.500,392
Mobile,13400,17409.000,391
Tablet,6100,10441.500,390
Tablet,6600,10559.000,383
Desktop,13500,15935.000,380
Desktop,13900,16234.000,371
Tablet,6300,10510.000,370
Mobile,13800,17699.500,370
Desktop,13800,16529.500,370
Tablet,6500,10534.000,369
Mobile,14000,17711.500,362
Tablet,0,795.000,360
Mobile,13900,17656.000,358
Desktop,13600,16001.000,355
Mobile,14100,17356.000,351
Desktop,14200,16640.000,347
Mobile,14200,18386.500,346
Desktop,14700,17606.000,345
Mobile,14300,18886.000,341
Desktop,14000,16647.500,338
Desktop,14100,16451.000,336
Mobile,14500,18730.000,335
Mobile,15100,18795.500,334
Mobile,14400,18051.000,332
Tablet,7000,10827.500,332
Desktop,14300,16927.000,329
Desktop,14500,16677.000,329
Tablet,6700,10782.000,327
Desktop,14400,17053.500,324
Desktop,13700,16136.000,324
Mobile,14600,18443.000,321
Mobile,14700,18468.000,317
Mobile,15300,18352.000,313
Desktop,14600,17443.500,306
Desktop,14800,17348.000,304
Tablet,6800,10588.000,296
Tablet,7100,11427.000,295
Desktop,15000,17646.000,295
Mobile,14900,18247.000,294
Desktop,14900,17354.000,291
Mobile,15000,18607.000,289
Mobile,14800,18353.500,288
Tablet,7200,11328.000,283
Desktop,15100,17593.000,283
Tablet,6900,10688.500,282
Mobile,15200,19183.500,282
Mobile,15600,18720.000,277
Tablet,7300,11180.000,274
Mobile,15400,18346.500,274
Tablet,7400,11207.500,270
Desktop,15300,18360.000,268
Mobile,15800,19696.000,268
Desktop,15500,17974.000,267
Mobile,15500,18700.500,266
Desktop,15600,18099.500,262
Desktop,15200,17468.000,259
Mobile,15700,19425.000,255
Desktop,16100,19123.000,255
Tablet,7500,11388.000,252
Tablet,7700,11972.500,248
Mobile,16000,20091.000,246
Desktop,15400,17925.000,242
Mobile,16200,19601.000,242
Desktop,15800,18737.000,241
Mobile,15900,20006.000,241
Mobile,16300,20007.500,238
Tablet,7800,12152.500,238
Mobile,16700,20041.500,236
Desktop,15700,18515.000,234
Tablet,7600,11851.000,233
Mobile,16600,20689.000,233
Tablet,7900,11596.000,231
Desktop,16000,18456.000,230
Desktop,15900,18855.000,229
Mobile,16500,19488.500,228
Mobile,16400,19447.000,225
Desktop,16600,19577.000,225
Mobile,16800,20089.000,223
Mobile,16900,19962.500,218
Desktop,16200,18979.000,216
Tablet,8200,12407.500,216
Desktop,16400,19209.500,214
Mobile,16100,19732.000,213
Desktop,17100,19605.000,207
Desktop,16500,18885.000,205
Desktop,17000,19752.000,203
Desktop,16300,19077.500,202
Desktop,16700,19554.000,200
Mobile,17900,22063.500,200
Desktop,16800,19412.000,198
Tablet,8400,12135.500,198
Desktop,16900,19769.500,198
Mobile,17200,20004.500,198
Mobile,17300,21065.500,194
Mobile,17700,20931.000,193
Tablet,8700,13113.000,192
Desktop,17200,19347.500,190
Tablet,8100,12021.000,189
Desktop,17400,19761.000,189
Desktop,17500,20716.000,187
Mobile,18100,21858.000,187
Mobile,17000,19832.500,186
Mobile,18400,21431.500,186
Tablet,8000,12198.000,185
Mobile,17800,20806.000,185
Mobile,18000,20561.000,182
Tablet,8500,11935.500,182
Desktop,17300,19986.000,181
Desktop,17700,19686.000,181
Mobile,18300,22217.500,180
Tablet,8300,12442.000,177
Mobile,17500,20933.000,176
Mobile,17600,20213.500,174
Mobile,18800,22249.000,173
Mobile,18200,21914.000,172
Tablet,9000,13974.000,170
Mobile,19100,23239.000,167
Desktop,18500,22277.000,167
Mobile,18500,21705.000,165
