DEVICETYPENAME,IMAGES,TTI,FREQ
Mobile,212,4898.000,185249
Desktop,507,6284.000,184723
Desktop,265,4515.000,184677
Mobile,231,4451.000,184002
Mobile,269,3577.500,183340
Mobile,262,4843.000,182779
Mobile,208,4787.000,181986
Mobile,520,3534.000,181580
Mobile,270,3739.000,181247
Desktop,286,4156.000,180145
Mobile,205,4806.000,179212
Tablet,107,5401.000,178827
Desktop,438,5292.000,178565
Mobile,204,5175.000,178093
Desktop,441,5976.000,178071
Mobile,290,5416.000,177948
Desktop,503,6301.000,177741
Desktop,319,4174.000,177649
Tablet,121,4982.000,177034
Mobile,275,4202.000,176862
Desktop,502,6509.000,176247
Desktop,528,4349.000,175528
Mobile,207,4661.000,175435
Desktop,293,4798.000,175310
Desktop,501,6662.000,174657
Desktop,504,6327.000,174468
Mobile,301,5245.000,173928
Desktop,435,5113.000,173626
Mobile,248,4488.000,173185
Mobile,226,3790.000,173066
Mobile,259,4778.000,172994
Mobile,280,4296.000,172692
Mobile,265,4811.000,172598
Tablet,108,5281.000,171769
Desktop,440,5918.000,171644
Tablet,122,5117.000,171261
Mobile,263,4772.000,171077
Desktop,270,4413.000,170800
Desktop,276,4005.000,170689
Mobile,243,4494.500,170348
Desktop,274,4307.000,169437
Desktop,439,5853.000,169277
Mobile,206,5156.000,169195
Desktop,271,4195.000,168102
Tablet,113,5317.000,167329
Mobile,245,4461.000,166867
Mobile,485,4279.000,166860
Mobile,215,4760.000,166136
Mobile,252,4887.000,165822
Desktop,278,4224.000,165352
Desktop,326,4062.000,165289
Mobile,229,4170.000,165121
Mobile,271,3426.000,164418
Tablet,123,5289.000,164174
Mobile,227,3824.000,163822
Desktop,505,6363.000,163383
Mobile,288,4684.000,163150
Mobile,293,5127.000,162981
Mobile,213,4532.000,162576
Desktop,569,5557.000,162408
Desktop,437,5501.500,161938
Tablet,114,5242.000,161432
Desktop,343,4480.000,161402
Mobile,249,4420.000,160356
Mobile,242,4463.000,159788
Mobile,261,4672.000,155541
Mobile,320,4889.000,155276
Desktop,534,4320.000,154681
Desktop,307,5032.000,154661
Mobile,282,4695.000,153506
Mobile,222,4718.000,153020
Desktop,527,4860.000,152918
Desktop,1186,3208.000,152242
Desktop,517,5723.000,152226
Desktop,520,4920.000,152170
Desktop,336,4916.000,151721
Desktop,532,4752.000,151555
Desktop,308,4992.000,151530
Desktop,430,5662.000,151289
